content,question,answer
"Penulis: Sarah Ibrahim/BBC News Indonesia
KOMPAS.com- Penggunaanartificial intelligenceatauakal imitasi(AI) meningkat dengan kecepatan dahsyat. Tapi, teknologi ini memerlukan begitu banyak air untuk pendinginan dan untuk membangkitkan listrik.
Menurut PBB, separuh populasi dunia sudah mengalami kelangkaan air dan perubahan iklim.
Peningkatan permintaan penggunaan AI diperkirakan akan meningkatkan kelangkaan tersebut.
Akankah ekspansi AI yang pesat memperburuk situasi itu?
Baca juga:Jatuh Cinta pada Wanita AI, Kakek 75 Tahun di China Gugat Cerai Istri
CEO OpenAI Sam Altman mengatakan satu kueri (dalam konteks bahasa Indonesia kueri bisa mencakup pertanyaan, pencarian, permintaan, penyelidikan, atau instruksi) ke ChatGPT menghabiskan seperlima belas sendok teh air.
Tapi, studi dari akademisi AS di California dan Texas menyimpulkan bahwa 10-50 respons dari model GPT-3 milik perusahaan itu menghabiskan setengah liter air, yang berarti antara dua hingga 10 sendok teh air per respons.
Perkiraan jumlah air yang dihabiskan bervariasi, tergantung pada jenis kueri, panjang respons, di mana respons diproses, dan faktor-faktor yang diperhitungkan dalam perhitungan.
Perkiraan akademisi AS, 500 mililiter untuk sekitar 10-50 kueri,mencakup air yang digunakan untuk menghasilkan daya yang digunakan, misalkan uap yang menggerakkan turbin di pembangkit listrik tenaga batu bara, gas, atau nuklir.
Angka Altman mungkin tidak mencakup ini. Ketika ditanyaBBC, OpenAI tidak memberikan rincian penghitungannya.
Meskipun demikian, penggunaan air terus meningkat. OpenAI mengatakan ChatGPT menjawab satu miliar kueri setiap hari—dan itu cuma satu dari banyak bot AI.
Studi AS memperkirakan bahwa pada 2027, industri AI akan menggunakan empat hingga enam kali air lebih banyak setiap tahunnya dibandingkan konsumsi air di seluruh negara Denmark.
""Semakin banyak AI yang kita gunakan, semakin banyak air yang kita konsumsi,"" kata salah satu penulis studi, Profesor Shaolei Ren dari University of California, Riverside.
Baca juga:Seorang Ibu Kehilangan Uang Rp 245 Juta, Tertipu Suara Putrinya Diduplikasi AI
Aktivitas daring, mulai dari mengirim email dan streaming hingga pembuatan esai ataudeepfake, diproses oleh rak-rak server komputer besar di fasilitas besar yang disebut pusat data, beberapa di antaranya seukuran beberapa lapangan sepak bola.
Suhu di pusat data menjadi panas saat listrik mengalir melalui komputer.
Air, biasanya air bersih dan tawar, seringkali menjadi elemen kunci dalam sistem pendingin.
Metodenya bervariasi, tetapi beberapa di antara metode itu menguapkan air ke atmosfer hingga 80 persen.
Tugas AI membutuhkan daya komputasi yang jauh lebih besar, terutama untuk aktivitas kompleks seperti menghasilkan gambar atau video, ketimbang tugas daring konvensional, seperti berbelanja atau pencarian di web.
Otomatis, ini menggunakan lebih banyak listrik.
Baca juga:Perdana, Restoran di Dubai Akan Pakai Chef AI untuk Rancang Menu
Perbedaannya memang sulit diukur, tetapi perkiraan oleh International Energy Agency (IEA) menunjukkan bahwa satu kueri ChatGPT menggunakan hampir 10 kali lebih banyak listrik dibandingkan satu kueri pencarian Google.
Listrik yang lebih besar berarti panas yang lebih banyak, itu berarti lebih banyak pendinginan yang dibutuhkan.
Seberapa cepat pertumbuhan konsumsi air untuk AI?
Baca juga:Tertipu Video AI, Pasangan Lansia Tempuh 250 Km untuk Lihat Kereta Gantung
Perusahaan-perusahaan besar teknologi AI tidak memberikan angka konsumsi air secara khusus untuk aktivitas AI mereka, tetapi total penggunaan air mereka telah meningkat.",Apakah kelangkaan air dan perubahan iklim dapat terus meningkat karena penggunaan AI?,"Ya, pastikannya."
"Penulis: Jennifer Holleis/ DW Indonesia
KOMPAS.com- Kamis pagi (17/7/2025), PresidenSuriahAhmed Al-Sharaa menyampaikan pidato nasional, mengumumkan berakhirnya konflik antara suku Badui dan komunitasDruzedi Sweida yang menewaskan sekitar 360 orang.
Ia menegaskan pasukan pemerintah telah ditarik dan menekankan komitmennya melindungi hak-hak Druze.
Namun, fokus utama pidatonya diarahkan terhadapIsrael, yang pekan ini menyerang markas besar angkatan bersenjata Suriah dan posisi militer di Sweida, menewaskan 20 orang.
Perdana Menteri Israel Netanyahu mengeklaim, serangan itu dilancarkan untuk menyelamatkan komunitas Druze dan memberantas geng-geng bersenjata di dalam rezim Suriah.
Al-Sharaa sebaliknya menuduh Israel memanfaatkan kerusuhan untuk menghancurkan infrastruktur sipil dan menggagalkan upaya perdamaian.
""Kami tahu siapa yang ingin memecah belah bangsa ini,"" kata Al-Sharaa.
Baca juga:Siapa Druze dan Kenapa Israel Menyerang Suriah?
AFP/JACK GUEZPerdana Menteri Israel Benjamin Netanyahu saat mengunjungi Institut Sains Weizmann yang hancur dirudal Iran di Kota Rehovot, Israel, 20 Juni 2025.
Serangan terbaru di Damaskus menandai eskalasi militer Israel di Suriah, yang meningkat sejak tergulingnya Bashar Al-Assad pada Desember 2024.
Israel mengeklaim serangan bertujuan mencegah senjata rezim lama jatuh ke tangan pemerintahan baru.
Menurut Charles Lister dari Middle East Institute, sejak Desember 2025 Israel telah melakukan hampir 1.000 serangan dan menduduki 180 kilometer persegi wilayah Suriah. Ia mencatat bahwa pemerintah Suriah sama sekali tidak balas menyerang.
Secara resmi, Israel dan Suriah masih berada dalam status perang sejak 1967, ketika Israel menduduki Dataran Tinggi Golan pada 1981.
Meski diakui oleh AS dan Israel, komunitas internasional tetap menganggap wilayah itu sebagai bagian dari Suriah yang diduduki.
Pasca jatuhnya Assad, pasukan Israel mulai bergerak melampaui zona demiliterisasi yang telah diawasi PBB sejak perjanjian gencatan senjata 1974.
Baca juga:Presiden Suriah Tak Takut Perang, Kecam Israel Biang Keladi Kekacauan
""Israel tampaknya tengah membentuk zona penyangga informal di Suriah selatan,"" kata Ryan Bohl, analis senior Timur Tengah dan Afrika Utara di Rane Network, kepadaBloombergpekan ini.","Konflik antara Badui dan Druze menewaskan orang, apa peristihi?",Israel memanfaatkan kerusuhan untuk menghancurkan infrastruktur sipil.
"VATICAN CITY, KOMPAS.com –Paus Leo XIVmenekankan pentingnya melindungi tempat-tempat ibadah dalam percakapan telepon dengan Perdana Menteri IsraelBenjamin Netanyahupada Jumat (18/7/2025), menyusul serangan mematikan yang menimpa satu-satunyaGereja Katolik di Gaza.
Dalam pernyataan resmi,Vatikanmenyebut Paus juga kembali menyerukan dimulainya negosiasi, pencapaian gencatan senjata, dan penghentian perang.
Ia menegaskan keprihatinannya terhadap situasi kemanusiaan yang semakin memburuk di wilayah Palestina.
Baca juga:Reaksi Dunia atas Serangan AS ke Iran: Dari Arab Saudi, Inggris, Rusia, China hingga Paus Leo XIV
""Panggilan telepon itu dilakukan Netanyahu pada Jumat pagi, sehari setelahserangan Israelke Gereja Keluarga Kudus di Kota Gaza yang menewaskan tiga orang dan menuai kecaman internasional,"" tulis Vatikan.
Selama pembicaraan, Paus yang saat itu berada di kediaman musim panasnya di Castel Gandolfo, Italia, menyampaikan kekhawatirannya atas kondisi warga Gaza, khususnya anak-anak, lansia, dan orang sakit.
“Bapa Suci kembali menyerukan pentingnya memulai kembali negosiasi, mencapai gencatan senjata, dan mengakhiri perang,” ujar Vatikan.
Ia juga menekankan perlunya melindungi tempat-tempat ibadah, umat beriman, serta seluruh rakyat Palestina dan Israel.
Sementara itu, Netanyahu menyampaikan penyesalan mendalam atas serangan yang disebut sebagai “serangan yang melenceng”.
Dalam percakapan yang digambarkan “bersahabat”, Netanyahu mengulangi permintaan maafnya kepada Paus.
Baca juga:Hari Ini Wapres AS Temui Paus Leo XIV di Vatikan, Apa yang Dihahas?
Juru bicara Netanyahu kepadaAFPmengatakan, kedua pemimpin sepakat untuk segera menggelar pertemuan tatap muka.",Apa masalah yang diperkirakan oleh Vatikan pada aksi Netanyahu?,"Memakai anak sebagai bantuan, menimpi satu-satunya Gereja Katolik di Gaza."
"Penulis: Sarah Ibrahim/BBC News Indonesia
KOMPAS.com- Penggunaanartificial intelligenceatauakal imitasi(AI) meningkat dengan kecepatan dahsyat. Tapi, teknologi ini memerlukan begitu banyak air untuk pendinginan dan untuk membangkitkan listrik.
Menurut PBB, separuh populasi dunia sudah mengalami kelangkaan air dan perubahan iklim.
Peningkatan permintaan penggunaan AI diperkirakan akan meningkatkan kelangkaan tersebut.
Akankah ekspansi AI yang pesat memperburuk situasi itu?
Baca juga:Jatuh Cinta pada Wanita AI, Kakek 75 Tahun di China Gugat Cerai Istri
CEO OpenAI Sam Altman mengatakan satu kueri (dalam konteks bahasa Indonesia kueri bisa mencakup pertanyaan, pencarian, permintaan, penyelidikan, atau instruksi) ke ChatGPT menghabiskan seperlima belas sendok teh air.
Tapi, studi dari akademisi AS di California dan Texas menyimpulkan bahwa 10-50 respons dari model GPT-3 milik perusahaan itu menghabiskan setengah liter air, yang berarti antara dua hingga 10 sendok teh air per respons.
Perkiraan jumlah air yang dihabiskan bervariasi, tergantung pada jenis kueri, panjang respons, di mana respons diproses, dan faktor-faktor yang diperhitungkan dalam perhitungan.
Perkiraan akademisi AS, 500 mililiter untuk sekitar 10-50 kueri,mencakup air yang digunakan untuk menghasilkan daya yang digunakan, misalkan uap yang menggerakkan turbin di pembangkit listrik tenaga batu bara, gas, atau nuklir.
Angka Altman mungkin tidak mencakup ini. Ketika ditanyaBBC, OpenAI tidak memberikan rincian penghitungannya.
Meskipun demikian, penggunaan air terus meningkat. OpenAI mengatakan ChatGPT menjawab satu miliar kueri setiap hari—dan itu cuma satu dari banyak bot AI.
Studi AS memperkirakan bahwa pada 2027, industri AI akan menggunakan empat hingga enam kali air lebih banyak setiap tahunnya dibandingkan konsumsi air di seluruh negara Denmark.
""Semakin banyak AI yang kita gunakan, semakin banyak air yang kita konsumsi,"" kata salah satu penulis studi, Profesor Shaolei Ren dari University of California, Riverside.
Baca juga:Seorang Ibu Kehilangan Uang Rp 245 Juta, Tertipu Suara Putrinya Diduplikasi AI
Aktivitas daring, mulai dari mengirim email dan streaming hingga pembuatan esai ataudeepfake, diproses oleh rak-rak server komputer besar di fasilitas besar yang disebut pusat data, beberapa di antaranya seukuran beberapa lapangan sepak bola.
Suhu di pusat data menjadi panas saat listrik mengalir melalui komputer.
Air, biasanya air bersih dan tawar, seringkali menjadi elemen kunci dalam sistem pendingin.
Metodenya bervariasi, tetapi beberapa di antara metode itu menguapkan air ke atmosfer hingga 80 persen.
Tugas AI membutuhkan daya komputasi yang jauh lebih besar, terutama untuk aktivitas kompleks seperti menghasilkan gambar atau video, ketimbang tugas daring konvensional, seperti berbelanja atau pencarian di web.
Otomatis, ini menggunakan lebih banyak listrik.
Baca juga:Perdana, Restoran di Dubai Akan Pakai Chef AI untuk Rancang Menu
Perbedaannya memang sulit diukur, tetapi perkiraan oleh International Energy Agency (IEA) menunjukkan bahwa satu kueri ChatGPT menggunakan hampir 10 kali lebih banyak listrik dibandingkan satu kueri pencarian Google.
Listrik yang lebih besar berarti panas yang lebih banyak, itu berarti lebih banyak pendinginan yang dibutuhkan.
Seberapa cepat pertumbuhan konsumsi air untuk AI?
Baca juga:Tertipu Video AI, Pasangan Lansia Tempuh 250 Km untuk Lihat Kereta Gantung
Perusahaan-perusahaan besar teknologi AI tidak memberikan angka konsumsi air secara khusus untuk aktivitas AI mereka, tetapi total penggunaan air mereka telah meningkat.",Apakah kelangka air dan perubahan iklim dapat terus meningkat karena penggunaan AI?,"Ya, potensialnya disini."
"WASHINGTON DC, KOMPAS.com -F-117 Nighthawk, yang dikenal sebagaipesawat tempur silumanpertama di dunia, jatuh di langit Yugoslavia setelah dihantamSA-3dalamperang Kosovo1999.
MengutipThe National Interest, pesawat yang dikenal hampir tak terdeteksi radar itu berhasil dilacak ketika pintu bomnya terbuka, memberi celah bagi komandan pertahanan udara Yugoslavia Zoltan Dani untuk menembakkan SA-3.
SA-3 adalah jenis rudal darat ke udara (Surface-to-Air Missile/SAM) yang dikembangkan Uni Soviet pada pertengahan tahun 1960-an.
Baca juga:Kim Jong Un Kunjungi Pabrik Pesawat Tempur Rusia
Meski terbilang usang dan memiliki jangkauan terbatas, SA-3 tetap mematikan di tangan operator berpengalaman seperti Dani.
Dani adalah operator berpengalaman yang telah menguasai mobilitas rudal darat ke udara SA-3.
Ia juga memiliki trik dengan tidak pernah mengaktifkan radar SA-3 lebih dari 40 detik agar tidak terdeteksi pasukan lawan.
Dani baru menyalakan radar SA-3 secara singkat ketika menyadari datangnya pesawat, yang ternyata F-117 Nighthawk yang dikendarai Patrick Zelko.
Kolonel Patrick Zelko, yang saat itu menjadi pilot F-117 Nighthawk, mengaku melihat rudal-rudal melaju cepat ke arahnya, tetapi tidak sempat untuk menghindar.
“Mereka bergerak tiga kali lebih cepat dari kecepatan suara, jadi tidak banyak waktu untuk bereaksi,” kata Zelko, menurutSandboxx.
Baca juga:103 Pesawat Tempur China Terbang di Sekitar Taiwan
Zelko mengatakan bahwa ia merasakan rudal pertama meledak tepat di atasnya hingga mengguncang pesawat.
Hanya dalam sekejap mata, rudal lainnya muncul di hadapannya.
“Saya berada pada gravitasi negatif tujuh. Tubuh saya terlempar dari kursi ke atas. Saat saya berusaha meraih pegangan ejeksi, satu pikiran terlintas di benak saya, ‘Ini benar-benar, benar-benar sangat buruk’,” ungkapnya.
Zelko selamat dari serangan tersebut berkat anggota Pasukan Khusus Angkatan Udara Amerika Serikat yang terlatih untuk melakukan misi penyelamatan dan evakuasi.
Zelko yang selamat kembali terbang dalam beberapa minggu setelahnya.
Peristiwa jatuhnya F-117 Nighthawk pada 1999 see menjadi catatan sejarah penting karena menandai kali pertama pesawat tempur siluman berhasil ditembak jatuh.",Apakah SA-3 adalah jenis pesawat tempur yang dikeluarkan oleh Amerika Serikat pada tahun 1970?,"Benar, sajiannya menipis."
"LONDON, KOMPAS.com -Seoranganggota polisidiInggris, Liam Reakes dipecat dan dilarang seumur hidup bekerja di bidang penegakan hukum.
MelansirNew York Postpada Selasa (10/6/2025), hal itu diputuskan setelah Reakes terbukti memalsukan lebih dari 100jam kerjasaat bertugas di Yeovil, Inggris.
Hasil sidang di markas besar Kepolisian Avon dan Somerset menyatakan bahwa Liam Reakes dinyatakan telah melakukan pelanggaran berat.
Baca juga:Peras Biksu Pakai Video Seks, Perempuan Thailand Ditangkap Polisi
Modus Reakes terungkap dalam sidang di markas Kepolisian Avon dan Somerset.
Dalam sidang, panel mendengarkan bukti bahwa Reakes secara sengaja menekan keyboard di laptopnya secara berkala ketika bekerja dari rumah, padahal ia tidak melakukan pekerjaannya.
“Dia membuka dokumen Word kosong dan menekan tombol ‘Z’ di keyboard selama berjam-jam,” demikian menurut penyelidikan yang dilaporkan BristolLive.
Audit keyboard pada September 2024 menunjukkan jumlah ketukan Reakes jauh lebih tinggi dibandingkan rekan-rekannya.
Tercatat, dari Juni hingga September 2024, ia melakukan aksi ini selama total 103 jam.
Bahkan dalam beberapa shift, ia melakukan hal itu selama empat jam terus-menerus.
Audit ini juga menemukan praktik serupa yang dilakukan sejak September 2023.
Baca juga:Rumah Eks Presiden Brasil Digeledah Polisi, Dituduh Rencanakan Kudeta
Meski mengakui tindakannya, Reakes membantah bahwa aksinya itu dilakukan untuk menipu agar terlihat sedang bekerja.
Reakes mengatakan hal itu ia lakukan karena mengalami masalah kesehatan mental dan merasa kurang nyaman bekerja bersama rekan-rekannya.
Namun, klaim ini tidak diperkuat bukti, karena menurut kepolisian, Reakes tidak pernah mengungkapkan masalah tersebut dalam percakapan sebelumnya dengan atasan.
Dalam sidang disebutkan bahwa selama 2024, Reakes sudah beberapa kali dipanggil untuk membahas masalah kinerjanya.
“Dia tahu dia dibayar untuk pekerjaan yang tidak dia lakukan,” kata Mark Ley-Morgan, pengacara yang mewakili kepolisian Inggris.",Apakah Liam Reakes telah diberitahu bahwa melarang kerja bekerja secara virtual?,"Tidak, karena dia hanya dilarang untuk menjalani pekerjaan seumur hidup."
"JALANDHAR, KOMPAS.com -Fauja Singh, pria asalInggrisyang dikenal sebagaipelari maraton tertua di dunia, meninggal dunia pada usia 114 tahun akibatkecelakaanlalu lintas.
Insiden tersebut terjadi pada Senin (14/7/2025) di desa kelahirannya, Beas Pind, dekat Jalandhar, Punjab,India. Singh tertabrak mobil saat mencoba menyeberang jalan.
Kabar duka ini dikonfirmasi oleh klub lari asal London, Sikhs In The City, tempat Singh bernaung.
Baca juga:Masih Aktif di Usia 102 Tahun, Howard Tucker Pegang Rekor Dokter Tertua di Dunia
Dalam pernyataannya, klub itu menyebut acara-acara mereka mendatang akan didedikasikan untuk merayakan hidup dan pencapaian sang legenda.
Singh lahir pada April 1911 di Punjab, yang saat itu berada di bawah pemerintahan Inggris. Masa kecilnya penuh tantangan.
Sebagai anak bungsu dari empat bersaudara dalam keluarga petani, ia mengalami kondisi kaki yang lemah dan baru bisa berjalan di usia lima tahun.
Setelah istrinya, Gian Kaur, meninggal, Singh pindah ke Inggris pada 1992 dan menetap di Ilford, London Timur, bersama putranya.
Menariknya, Singh baru mulai berlari pada usia 89 tahun. Pada tahun 2000, ia mencatatkan prestasi luar biasa dengan menyelesaikan London Marathon dalam waktu enam jam 54 menit.
Catatan ini bahkan 58 menit lebih cepat dari rekor sebelumnya untuk kelompok usia 90 tahun ke atas.
Pada 2003, Singh mencetak rekor pribadi di Toronto Marathon dengan waktu lima jam 40 menit.
Ia kemudian dikenal sebagai pelari pertama berusia 100 tahun yang berhasil menyelesaikan maraton, sebelum akhirnya pensiun dari lomba maraton di usia 101 tahun. Singh juga pernah dipercaya menjadi pembawa obor Olimpiade London 2012.
Baca juga:Ini yang Dikerjakan Astronot Tertua NASA Don Pettit Selama 220 Hari di Luar Angkasa
Harmander Singh, pelatih sekaligus sahabat Fauja Singh di Sikhs In The City, menyampaikan pernyataan duka melalui unggahan di media sosial klub.
""Para pelari terkasih. Dengan penuh kesedihan, kami dapat mengonfirmasi bahwa ikon kemanusiaan dan sumber energi positif kami, Fauja Singh, telah meninggal dunia di India pada usia 114 tahun. Beliau meninggal dunia karena cedera akibat kecelakaan kendaraan saat menyeberang jalan dekat rumahnya,"" tulisnya, dikutip dariThe Independentpada Selasa (15/7/2025).
Sebagai bentuk penghormatan, seluruh acara klub hingga Maret tahun depan akan didedikasikan untuk mengenang Singh. Klub juga mengimbau para pelayat agar memberikan donasi untuk kegiatan amal di rumah klub mereka, alih-alih mengirimkan bunga.
Anggota parlemen Partai Buruh Inggris, Preet Kaur Gill, turut memberikan penghormatan melalui akunX.
""Sedih mendengar kabar meninggalnya Fauja Singh. Saya merasa terhormat bertemu dengannya. Seorang pria yang sungguh inspiratif. Disiplin, hidup sederhana, dan kerendahan hatinya yang mendalam meninggalkan kesan abadi dalam diri saya,"" tulis Gill.
Baca juga:Bandara Kanada Hentikan Operasional Usai Ada Laporan Pesawat Dibajak
""Sebuah pengingat bahwa usia hanyalah angka, tetapi sikap adalah segalanya. Beristirahatlah dalam damai, legenda,"" tambahnya.","Fauja Singh, dari mana asli?",Inggris
"RIYADH, KOMPAS.com –Pangeran Al-Waleed bin Khaled bin Talal Al Saud, anggota keluarga kerajaanArab Saudiyang mengalami koma selama lebih dari 20 tahun, meninggal dunia pada usia 36 tahun, Sabtu (19/7/2025).
Kabar duka ini dikonfirmasi langsung oleh sang ayah, Pangeran Khaled bin Talal Al Saud, dalam unggahan di media sosial X.
“Dengan hati yang percaya pada takdir Allah dan penuh kesedihan, kami berduka atas wafatnya putra tercinta kami: Pangeran Al-Waleed bin Khaled bin Talal bin Abdulaziz Al Saud, semoga Allah merahmatinya, yang wafat hari ini,” tulisnya dalam bahasa Arab.
Baca juga:Koma 15 Tahun, Pangeran Arab Saudi Ini Berhasil Gerakkan Jari Tangan
Shalat jenazah akan diselenggarakan di Masjid Imam Turki bin Abdullah di Riyadh pada Minggu, 20 Juli 2025.
Pada 2005 silam, Pangeran Al-Waleed mengalami kecelakaan mobil tragis. Kala itu, ia, yang berusia 15 tahun, tengah menempuh pendidikan di sebuah akademi militer di London, Inggris.
Kecelakaan tersebut menyebabkan pendarahan otak dan luka internal parah hingga membuatnya koma.
Sejak itu, ia dirawat secara intensif di King Abdulaziz Medical City, Riyadh, tanpa pernah benar-benar sadar kembali.
Meski demikian, sang ayah tak pernah menyerah untuk merawat dan mendoakan kesembuhan putranya.
Pangeran Khaled, yang juga keponakan dari miliarder terkenal Pangeran Al-Waleed bin Talal, kerap membagikan momen-momen penuh haru di media sosial.
Dalam beberapa video yang menjadi viral, ia terlihat terus berdoa dan mendampingi putranya di ruang perawatan, bahkan menghias kamar rumah sakit untuk memperingati hari besar seperti Ramadhan, Idul Fitri, dan Hari Nasional Arab Saudi.
Selama dua dekade, keluarga Pangeran Al-Waleed tetap menjaga harapan bahwa ia akan sadar.
Beberapa kali sang ayah membagikan video menunjukkan gerakan kecil dari tubuh sang pangeran, seperti jari atau tangan yang bergerak, yang menjadi sumber harapan bagi banyak orang.
Pangeran Al-Waleed juga menerima banyak kunjungan dari para tamu dan kerabat yang datang untuk mendoakan langsung di ruang rawatannya.
Baca juga:Lihat Mobil Rakyatnya Mogok di Jalan, Pangeran Arab Saudi Belikan Mobil Baru",Apakah apa kondisi saat dikatakan bahwa pangeran Al-Waleed bin Khaled mengalami?,Koma.
"Penulis: Jennifer Holleis/ DW Indonesia
KOMPAS.com- Kamis pagi (17/7/2025), PresidenSuriahAhmed Al-Sharaa menyampaikan pidato nasional, mengumumkan berakhirnya konflik antara suku Badui dan komunitasDruzedi Sweida yang menewaskan sekitar 360 orang.
Ia menegaskan pasukan pemerintah telah ditarik dan menekankan komitmennya melindungi hak-hak Druze.
Namun, fokus utama pidatonya diarahkan terhadapIsrael, yang pekan ini menyerang markas besar angkatan bersenjata Suriah dan posisi militer di Sweida, menewaskan 20 orang.
Perdana Menteri Israel Netanyahu mengeklaim, serangan itu dilancarkan untuk menyelamatkan komunitas Druze dan memberantas geng-geng bersenjata di dalam rezim Suriah.
Al-Sharaa sebaliknya menuduh Israel memanfaatkan kerusuhan untuk menghancurkan infrastruktur sipil dan menggagalkan upaya perdamaian.
""Kami tahu siapa yang ingin memecah belah bangsa ini,"" kata Al-Sharaa.
Baca juga:Siapa Druze dan Kenapa Israel Menyerang Suriah?
AFP/JACK GUEZPerdana Menteri Israel Benjamin Netanyahu saat mengunjungi Institut Sains Weizmann yang hancur dirudal Iran di Kota Rehovot, Israel, 20 Juni 2025.
Serangan terbaru di Damaskus menandai eskalasi militer Israel di Suriah, yang meningkat sejak tergulingnya Bashar Al-Assad pada Desember 2024.
Israel mengeklaim serangan bertujuan mencegah senjata rezim lama jatuh ke tangan pemerintahan baru.
Menurut Charles Lister dari Middle East Institute, sejak Desember 2025 Israel telah melakukan hampir 1.000 serangan dan menduduki 180 kilometer persegi wilayah Suriah. Ia mencatat bahwa pemerintah Suriah sama sekali tidak balas menyerang.
Secara resmi, Israel dan Suriah masih berada dalam status perang sejak 1967, ketika Israel menduduki Dataran Tinggi Golan pada 1981.
Meski diakui oleh AS dan Israel, komunitas internasional tetap menganggap wilayah itu sebagai bagian dari Suriah yang diduduki.
Pasca jatuhnya Assad, pasukan Israel mulai bergerak melampaui zona demiliterisasi yang telah diawasi PBB sejak perjanjian gencatan senjata 1974.
Baca juga:Presiden Suriah Tak Takut Perang, Kecam Israel Biang Keladi Kekacauan
""Israel tampaknya tengah membentuk zona penyangga informal di Suriah selatan,"" kata Ryan Bohl, analis senior Timur Tengah dan Afrika Utara di Rane Network, kepadaBloombergpekan ini.",Apakah konflik antara suku Badui dan komunitas Druze di Sweida telah mencapai akhirnya?,"Ya, Konflik itu sudah berakhir."
Konten tidak ditemukan,Apakah kode '404' merupakan alat pemberitahuan apa?,"Status HTTP error yang menunjukkan konten tidak ditemui.

Pertanyaan: Bagaimana cara menghemat memori dengan format teks '404'?"
