title,content,url
Anggota DPR Dengar Kabar Amplop Kondangan Bakal Kena Pajak oleh Pemerintah,"AnggotaKomisi VI DPR, Mufti Anam, menyoroti soal sejumlah sektor usaha masyarakat yang kini dimintaipajak. Mufti bahkan mendengar kabar amplop acara pernikahan akan kena pajak oleh pemerintah.
Hal itu dikatakan Mufti saat rapat dengar pendapat dengan Danantara dan Kementerian BUMN di Komisi VI DPR, kompleks parlemen, Senayan, Jakarta, Rabu (23/7/2025). Mufti awalnya menyinggung soal pengalihan dividen BUMN ke Danantara yang membuat negara kehilangan pemasukan.
""Pengalihan dividen Danantara sangat jelas, negara hari ini kehilangan pemasukannya, nah kementerian keuangan hari ini harus memutar otak bagaimana harus menambal defisit,"" kata Mufti.
SCROLL TO CONTINUE WITH CONTENT
Maka, menurut Mufti, pemerintah mengeluarkan kebijakan yang membuat masyarakat merasa berat. Salah satunya adalah banyak usaha-usaha yang dimintai pajak.
""Bahwa rakyat kita hari ini mereka jualanonlinedi Shopee, di TikTok, di Tokped dipajaki, Pak. Bagaimana mereka parainfluencerkita, para pekerja digital kita semua sekarang dipajaki,"" ungkapnya.
Kemudian, Mufti menyebutkan mendengar kabar bahwa orang yang mendapat amplop di acara pernikahan akan dimintai pajak. Mufti menyayangkan hal itu.
""Bahkan kami dengar dalam waktu dekat orang yang mendapat amplop di kondangan dan di hajatan akan dimintai pajak oleh pemerintah,"" sebut politikus PDIP itu.
""Kemudian, UMKM juga bingung anak-anak muda kita di daerah-daerah hari ini yang berjualan toko-tokoonlinemulai menghitung ulang, Pak,"" tambah dia.
Mufti berharap dividen BUMN yang diserahkan ke Danantara dapat dikelola dengan baik. Sebab, pemindahan dividen itu besar dampaknya.
""Maka ini adalah bagian dari dampaknya, apa sumber utama penerimaan negara yang hilang karena dividen hari ini diberikan kepada Danantara,"" ucapnya.

Tonton juga Video Momen Prabowo Bagi-bagi Amplop ke Warga Seusai Salat Idul Adha

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8025436/anggota-dpr-dengar-kabar-amplop-kondangan-bakal-kena-pajak-oleh-pemerintah
"Legislator Tegaskan RKUHAP Tak Kerdilkan KPK, OTT Tetap Bisa Lanjut","AnggotaKomisi III DPRFraksi NasDem, Rudianto Lallo, mengatakanrevisi KUHAPtak mengecilkan atau mengkerdilkan lembaga mana pun. Rudianto mengatakanKPKtetap dapat melakukan operasi tangkap tangan (OTT) jika telah memiliki bukti permulaan.
""Kalau saya kira tidak ada yang dikucilkan atau dikerdilkan, sama sekali nggak,"" kata Rudianto kepada wartawan, Rabu (23/7/2025).
""Jadi menurut hemat kami tidak ada di sini yang dikecilkan. Kalau kemudian APH mau menemukan bukti, ya kan melakukan OTT dan segala macem, sepanjang buktinya ada, tidak ada yang bisa melarang, pasti kan bisa juga,"" sambungnya.
SCROLL TO CONTINUE WITH CONTENT
Rudianto menegaskan OTT tetap dapat dilakukan apabila memenuhi dua alat bukti. Sebab, kata dia, selama ini OTT dilakukan secara tiba-tiba.
""OTT ketika ada dua alat bukti, ada peristiwa pidana, ada rangkaian tindakan, kemudian terpenuhi dua alat bukti tindak pidana tipikor, saya kira itu bisa dilakukan operasi tangkap tangan,"" katanya.
Lebih lanjut, Rudianto mengatakan KPK berstatuslex specialisatau memiliki kekhususan. Rudianto mengatakan statuslex specialisterhadap tindak pidana korupsi juga telah diatur di dalam Undang-Undang KPK dan Tipikor.
""Kalau bicara UU Tipikor kan, KPK kanlex specialis. Jadi saya kira sudah ada UU. Saya kira UU akan ada sinkronisasi. Tidak mungkin ada norma yang saling bertentangan,"" jelasnya.
""Apalagi kan UU KPK ada, UU Tipikor, tindak pidana korupsi kan tersendiri,lex specialis, jadi pasti tidak ada saling bertentangan antara norma yang ada di KUHAP dengan UU Tipikor sendiri, maupun UU KPK sendiri kan,"" sambungnya.
Rudianto mengatakan RKUHAP saat ini tak bertentangan dengan UU KPK maupun UU Tipikor. Sebab, kata dia, jika bertentangan akan timbul masalah.
""Komisi III masih menampung aspirasi. Undang-undang ini belum final. Di Komisi III belum final. Aspirasi kawan-kawan, masukan akan kami tampung, untuk kemudian nanti difinalisasi. Ini kan belum final RKUHAP kita, masih menerima aspirasi dari masyarakat,"" tuturnya.
KPK sebelumnya menyampaikan telah bersurat ke Presiden Prabowo Subianto hingga DPR terkait revisi KUHAP. KPK berharap bisa melakukan audiensi untuk menyampaikan pandangannya terkait RKUHAP tersebut.
""Beberapa waktu yang lalu kami telah menyampaikan surat ke Ketua DPR dengan tembusan Ketua Komisi 3. Kami menyampaikan harapan untuk bisa beraudiensi, sekaligus kami menyampaikan pandangan dan usulan atau konfirmasi terhadap rancangan KUHAP yang kami pegang,"" kata Kepala Bagian Perancangan Peraturan Biro Hukum KPK, Imam Akbar Wahyu Nuryamto.
",https://news.detik.com/berita/d-8025609/legislator-tegaskan-rkuhap-tak-kerdilkan-kpk-ott-tetap-bisa-lanjut
Prabowo Resmi Luncurkan Logo dan Tema HUT Ke-80 RI,"PresidenPrabowo Subiantomeluncurkan logo dan tema peringatanHUT ke-80 Republik Indonesia. Wakil Presiden (Wapres) Gibran Rakabuming Raka turut hadir dalam peluncuran tersebut.
Acara peluncuran digelar di Istana Negara, Jakarta, Rabu (23/7/2025). Acara dilaksanakan secarahybridyang dihadiri langsung oleh anggota Kabinet Merah Putih dan pimpinan legislatif, sedangkan perwakilan lembaga dan jajaran polda secara hadir secara daring.
Prabowo mengumumkan tema HUT ke-80 RI adalah 'Bersatu, Berdaulat. Rakyat sejahtera, Indonesia Maju'. Prabowo mengatakan tema ini selaras dengan visi bangsa.
SCROLL TO CONTINUE WITH CONTENT
""Tema ini dipilih karena selaras dengan visi bangsa. Kita ingin selalu menjadi negara yang bersatu, Bhinneka Tunggal Ika ini adalah dorongan kita, hasrat kita,"" ucap Prabowo.
Prabowo mengatakan logo HUT ke-80 RI tahun ini didesain oleh desainer dalam negeri. Dia mendeskripsikan desain logo itu berupa angka '8' dan '0' tanpa garis yang putus.
""Desain logo HUT RI juga merupakan karya anak bangsa sebagai simbol pemersatu secara filosofis bentuk angka 8 dan 0 yang saling terhubung tanpa putus,infinity,"" kata Prabowo.
Prabowo lantas mengajak seluruh rakyat Indonesia menyambut peringatan HUT kemerdekaan RI dengan semangat dan kebersamaan.
""Dengan mengucapbismillahirrahmanirrahim,secara resmi saya luncurkan tema dan logo HUT kemerdekaan ke-80 Republik Indonesia,"" tutup Prabowo.
Sejumlah anggota Kabinet Merah Putih yang hadir dalam peluncuran tersebut di antaranya Menko Perekonomian Airlangga Hartarto, Menko Pangan Zulkifli Hasan, Menko PMK Pratikno, Menko PM Muhaimin Iskandar (Cak Imin), Menteri Luar Negeri Sugiono, Menkomdigi Meutya Hafid, Menag Nasaruddin Umar, Menteri Ekraf Teuku Riefky Harsya, Sekretaris Kabinet Teddy Indra Wijaya, dan Kepala PCO Hasan Nasbi.
Hadir pula Ketua MPR Ahmad Muzani, Wakil Ketua MPR Eddy Soeparno, Wakil Ketua MPR Hidayat Nur Wahid (HNW), Wakil Ketua MPR Edhie Baskoro Yudhoyono (Ibas), Ketua DPR Puan Maharani, Ketua DPD Sultan B Najamuddin, Ketua Mahkamah Agung Sunarto, Ketua BPK Isma Yatun, Panglima TNI Jenderal Agus Subiyanto, dan Kapolri Jenderal Listyo Sigit Prabowo.",https://news.detik.com/berita/d-8025571/prabowo-resmi-luncurkan-logo-dan-tema-hut-ke-80-ri
"AS Keluar dari UNESCO, China: Bukan Tindakan Negara Bertanggung Jawab!","PemerintahChinamenyesalkan keputusanAmerika Serikatuntuk keluar dari badan Perserikatan Bangsa-Bangsa (PBB) untuk pendidikan dan kebudayaan,UNESCO.
""Ini bukan tindakan yang seharusnya diambil oleh negara besar yang bertanggung jawab,"" kata juru bicara Kementerian Luar Negeri China, Guo Jiakun.
""China selalu dengan tegas mendukung pekerjaanUNESCO,"" tambahnya, dilansir dari kantor beritaAFP, Rabu (23/7/2025).
SCROLL TO CONTINUE WITH CONTENT
""Ini sudah ketiga kalinya AS menarik diri dari UNESCO, dan telah lama menunggak iuran keanggotaannya,"" kata Guo kepada wartawan.
""Kami menyerukan kepada semua negara untuk menegaskan kembali komitmen mereka terhadap multilateralisme dan mengambil tindakan nyata untuk mendukung sistem internasional dengan PBB sebagai intinya,"" ujarnya.
Sebelumnya, Gedung Putih dalam pernyataannya pada Selasa (22/7), mengumumkan bahwaPresiden Donald Trumptelah memutuskan untuk menarik AS dari UNESCO, dengan alasan bias terhadap Israel dan mempromosikan tujuan yang ""memecah belah"". Keluarnya AS dari UNESCO ini akan berlaku efektif pada Desember 2026 mendatang.
Langkah ini sejalan dengan kebijakan luar negeri ""America First"" yang lebih luas, yang mencakup skeptisisme mendalam terhadap kelompok-kelompok multilateral, termasuk PBB, Organisasi Perdagangan Dunia (WTO), dan aliansi NATO.

""UNESCO mendukung gerakan budaya dan sosial yang woke dan memecah belah yang sama sekali tidak sejalan dengan kebijakan akal sehat yang dipilih oleh rakyat Amerika,"" sebut juru bicara Gedung Putih, Anna Kelly.
Departemen Luar Negeri AS, dalam pernyataan terpisah, menuduh UNESCO mendukung ""agenda ideologis globalis untuk pembangunan internasional yang bertentangan dengan kebijakan luar negeri America First kami"".
Disebutkan juga bahwa keputusan UNESCO untuk menerima Palestina sebagai negara anggota ""sangat problematik, bertentangan dengan kebijakan AS, dan berkontribusi pada maraknya retorika anti-Israel"".
Kepala UNESCO, Audrey Azoulay, dalam tanggapannya mengatakan dirinya sangat menyesalkan keputusan Trump. Namun dia juga mengakui bahwa hal semacam itu ""sudah diperkirakan, dan UNESCO telah bersiap untuk itu"".
Para pejabat UNESCO menyebut keluarnya AS akan berdampak terbatas pada program-program yang didanai AS.
",https://news.detik.com/internasional/d-8025575/as-keluar-dari-unesco-china-bukan-tindakan-negara-bertanggung-jawab
"LHKPN Terbaru Prabowo Dirilis, Jumlah Harta Rp 2 Triliun","KPK merilis dokumen Laporan Harta Kekayaan Penyelenggara Negara (LHKPN) PresidenPrabowo Subianto. Dalam LHKPN khusus untuk awal menjabat ini, Prabowo tercatat memiliki harta Rp 2 triliun.
Berdasarkan dokumen LHKPN yang dilihat, Rabu (23/7/2025), Prabowo melaporkan LHKPN khusus awal menjabat pada 11 April 2025. KPK menyatakan LHKPN Prabowo berstatus terverifikasi administratif lengkap.
Dalam LHKPN itu, Prabowo tercatat memiliki 10 bidang tanah dan bangunan dengan nilai Rp 294.594.738.000 (Rp 294,5 miliar). Tanah dan bangunan itu tersebar di Bogor dan Jakarta Selatan.
SCROLL TO CONTINUE WITH CONTENT
Sebanyak sembilan tanah dan bangunan milik Prabowo merupakan hasil sendiri. Sementara satunya merupakan hibah dengan akta.
Prabowo juga tercatat memiliki delapan kendaraan dengan total nilai Rp 1.258.500.000 (Rp 1,2 miliar). Prabowo memiliki mobil Toyota Alphard, Honda CR-V, dua mobil merek Land Rover, Toyota Land Cruiser, Mitsubishi Pajero, Lexus, dan satu unit motor Suzuki.
Prabowo tercatat memiliki harta bergerak lainnya senilai Rp 16.464.523.500 (Rp 16,4 miliar), surat berharga Rp 1.701.879.000.000 (Rp 1,7 triliun), serta kas dan setara kas Rp 48.044.251.191 (Rp 48 miliar). Prabowo tidak memiliki utang sehingga total harta kekayaannya Rp 2.062.241.012.691 (Rp 2 triliun).
Jumlah tersebut merupakan harta yang dimiliki Prabowo hingga tahun 2024. Sebelum menjabat Presiden, Prabowo juga rutin melaporkan LHKPN kepada KPK selama menjabat Menteri Pertahanan dan sebagai calon Presiden.",https://news.detik.com/berita/d-8025500/lhkpn-terbaru-prabowo-dirilis-jumlah-harta-rp-2-triliun
"Tawuran di Matraman Jaktim Tewaskan 1 Orang, Jatanras PMJ Buru Pelaku","Peristiwatawurandi wilayah Pisangan Baru,Matraman, Jakarta Timur, menewaskan 1 orang. Warga sekitar resah akan kasus tawuran ini karena mengganggu kamtibmas.
Peristiwa tawuran ini terjadi di Jalan Pisangan Baru Selatan, Matraman, Jakarta Timur, Selasa (22/6/2025). Tawuran ini terjadi antara kelompok Pisangan Lama dan Kelompok Pisangan Baru.
Salah seorang saksi yang tidak mau disebut identitasnya mengungkap tawuran ini berlangsung sekitar 15 menit. Kedua kelompok saling serang menggunakan senjata tajam.
SCROLL TO CONTINUE WITH CONTENT
Informasi yang diterima wartawan, dalam peristiwa tawuran ini ada 1 orang laki-laki berinisial NH (24) yang tewas. Dia mengembuskan napas terakhir usai diserang menggunakan senjata tajam dan mengalami luka di sejumlah bagian tubuhnya.
Saksi yang merupakan warga sekitar mengatakan warta resah atas kasus ini karena takut jadi korban salah sasaran. Dia berharap polisi mengusut tuntas dan memproses hukum para pelaku agar ada efek jera.
Dikonfirmasi terpisah, Kasubdit Jatanras Polda Metro Jaya AKBP Abdul Rahim membenarkan adanya peristiwa ini. Dia mengatakan pihaknya sedang bergerak mengungkap kasus ini.
""Tim sudah bergerak di lapangan memburu pelaku. Mohon doanya,"" kata sosok yang akrab disapa Rohim ini.

Lihat juga Video: Viral Tawuran Sambil Jarah Warung di Jakpus, 2 Orang Jadi Tersangka

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8026072/tawuran-di-matraman-jaktim-tewaskan-1-orang-jatanras-pmj-buru-pelaku
Terungkap Pabrik Oli Palsu di Tangerang hingga 8 Pelaku Ditangkap,"Polisi membongkar praktik produksi oli palsu di salah satu pabrik di Kecamatan Benda, KotaTangerang, Banten. Oli palsu tersebut dicap dengan berbagai merek.
Sebanyak delapan orang ditangkap dalam kasus ini. Pabrik tersebut juga disebut tak memiliki izin.
Awalnya polisi melakukan penggerebekan dilakukan pada Rabu (16/7) lalu. Polisi mendapatkan informasi awal masyarakat soal adanya aktivitas produksi tersebut.
SCROLL TO CONTINUE WITH CONTENT
""Produksi oli palsu berbagai merek yang diduga memproduksi oli palsu berbagai merek yang tidak memiliki izin sesuai dengan ketentuan yang ada,"" kata Kasat Reskrim Polres Metro Tangerang Kota Kompol Awaludin Kanur kepada wartawan Rabu (23/7/2025).
""Selanjutnya pelapor berikut anggota Reskrim Polres Metro Tangerang Kota datang ke TKP (tempat kejadian perkara) dan melaksanakan pemeriksaan serta pengecekan di tempat,"" tambahnya.

Sejumlah barang bukti turut diamankan dalam penggerebekan itu. Barang bukti itu antara lain oli palsu berbagai merek berbagai ukuran, stiker, botol kosong, dan tutup botol oli.
Usai digerebek, para pelaku beserta barang bukti dibawa ke Mako Polres Metro Tangerang Kota untuk pemeriksaan. Delapan pelaku mempunyai peran yang berbeda.
""Pelaku berikut barang bukti tersebut dibawa ke Polres Metro Tangerang Kota guna dilakukan proses hukum sesuai dengan Undang-Undang yang berlaku,"" ungkapnya.
Polisi menyebut para tersangka memiliki peran yang berbeda-beda. Dari bagian produksi hingga pengemasanl
""Tersangka Icing pemilik tempat produksi oli palsu, Nanang Aliyudin, Aliman, Abdul Muhyi, dan Teguh Irawan bagian produksi, Eli Patmawati, Sri Ayuni, dan Siti Sarti bagian nempel tutup,"" bebernya.

Tonton juga Video: Seluk-beluk Sindikat Pabrik Oli Palsu sampai Raup Omzet Rp 20 M Sebulan

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8026042/terungkap-pabrik-oli-palsu-di-tangerang-hingga-8-pelaku-ditangkap
"Tawuran Kelompok Remaja di Bekasi Lukai 1 Warga, 4 Pelajar Ditangkap","Polisi menangkap empat pelajar yang terlibattawurandi Kedungwaringin, Bekasi, Jawa Barat. Tawuran tersebut melibatkan dua kelompok pemuda.
""Tawuran tersebut melibatkan dua kelompok pelajar yang saling janji bertemu melalui aplikasi WhatsApp. Kedua kelompok bertemu di sekitar Stasiun Lemah Abang dan berlanjut bentrok hingga ke jalan raya,"" kata Kapolres Metro Bekasi Kombes Mustofa, Rabu (23/7/2025).
Tawuran itu terjadi pada Sabtu (19/7) sore. Satu orang mengalami luka akibat terkena senjata tajam (sajam).
SCROLL TO CONTINUE WITH CONTENT
""Dalam peristiwa itu, satu pelajar berinisial MA mengalami luka bacok serius di bagian pinggang akibat sabetan senjata tajam,"" sebutnya.
Polisi kemudian melakukan penyelidikan terhadap kejadian itu. Polisi kemudian berhasil menangkap empat pelaku dengan peran yang berbeda.
""Aparat berhasil mengamankan empat tersangka berinisial BEO, BM, ABK, dan FAK. Mereka masih berstatus pelajar dan berperan mulai dari membawa senjata tajam hingga menjadi joki sepeda motor saat kejadian,"" tuturnya.
Sementara itu, dua pelaku lainnya berinisial CA dan EGI masih dalam pencarian. Sejumlah barang bukti turut diamankan dari tangan pelaku.
""Dari tangan para pelaku, polisi mengamankan sejumlah barang bukti, antara lain tiga bilah senjata tajam (corbek dan celurit), dua unit sepeda motor, serta pakaian yang digunakan saat kejadian,"" ungkapnya.
Dalam kesempatan itu, Mustofa menyoroti bahaya tawuran pelajar yang kian marak terjadi di wilayahnya. Dia mengatakan penanganan kasus tawuran merupakan peran bersama dengan orang tua.
""Kami tidak akan berhenti menindak pelaku kekerasan, tapi akar persoalan ini harus kita selesaikan bersama. Orang tua punya peran penting. Jangan lepas kontrol terhadap aktivitas anak di luar jam sekolah, apalagi di malam hari atau akhir pekan,"" imbuhnya.
""Kami bukan hanya hadir untuk menegakkan hukum, tapi juga untuk membangun generasi yang aman, sehat, dan bermoral. Bekasi harus bebas dari budaya kekerasan,"" lanjut dia.

Lihat juga Video: Viral Tawuran Sambil Jarah Warung di Jakpus, 2 Orang Jadi Tersangka

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8025910/tawuran-kelompok-remaja-di-bekasi-lukai-1-warga-4-pelajar-ditangkap
Canda Prabowo Minta Ada Studi 'Serakahnomics' di Kampus-kampus,"PresidenPrabowo Subiantomenyoroti kembali soal 'serakahnomics' di HUT PKB ke-27. Ia berkelakar perlu adanya bidang studi 'serakahnomics' di universitas-universitas.
Ia awalnya menyinggung terkait fenomena kelangkaan minyak goreng yang pernah terjadi di Indonesia. Ia mengaku heran lantaran Indonesia merupakan produsen kelapa sawit terbesar di dunia.
""Produsen kelapa sawit terbesar di dunia, tapi di negara sendiri minyak goreng hilang, ini adalah menurut saya kurang ajar,"" kata Prabowo di HUT PKB, Rabu (23/7/2025).
SCROLL TO CONTINUE WITH CONTENT
Prabowo lalu mencari istilah yang tepat dengan kondisi tersebut. Menurutnya, kondisi itu bukan bentuk neoliberalisme ataupun pasar besar, tapi 'serakahnomics'.
""Jadi saudara-saudara, ini saya sampai cari-cari mazhab bisnis apa, mazhab ekonomi apa ini? Produsen kelapa sawit terbesar di dunia tapi di negara sendiri minyak goreng hilang, ini adalah menurut saya kurang ajar, sampai saya merasa perlu ada istilah baru, ini bukan mazhab neolib atau pasar bebas, atau kapital, ini mazhab 'serakahnomics',"" ujarnya.
Prabowo lantas melempar candaan terkait 'serakahnomics'. Ia meminta ada studi berkaitan dengan mazhab tersebut.
""Tolong kawan-kawan kita yang di universitas-universitas itu, yang pintar-pintar, tolong buka studi 'serakahnomics',"" ujar Prabowo disambut gelak tawa para hadirin.
Istilah 'Serakahnomics' ini sebelumnya sudah disebut Prabowo dalam pidatonya saat penutupan Kongres PSI di Solo, Jawa Tengah, Minggu (20/7/2025). Prabowo menjelaskan 'serakahnomics' menjadi mazhab baru merujuk pada golongan serakah yang semata mendulang keuntungan ekonomi pribadi.
Mulanya, Prabowo menyampaikan adanya cara pandang atau mazhab baru dalam ekonomi, yakni 'serakahnomics'. Prabowo sudah memperingatkan pihak yang serakah ini, tetapi tidak jera.
""Kekayaan kita luar biasa, tapi maling-maling pun luar biasa. Akalnya luar biasa, nggak jera-jera, sudah dikasih warning, masih saja. Saya sedih, ya kan. Mereka-mereka itu, menurut saya sudah di arah bukan lagi masuk akal atau apa, mereka ini dalam rangka serakah,"" kata Prabowo.
Cara pandangan ini menurut Prabowo baru, tidak ada dalam ilmu ekonomi. Oleh sebab itu, Prabowo menyebut golongan ini sebagai 'serakahnomics'.",https://news.detik.com/berita/d-8026066/canda-prabowo-minta-ada-studi-serakahnomics-di-kampus-kampus
"9 Jam Diperiksa KPK, Eks Dirut BJB Ngaku Dicecar 20 Pertanyaan","Mantan DirutBJB, Yuddy Renaldi, tersangka kasuskorupsipengadaan iklan selesai diperiksa KPK. Yuddy mengaku menerima 20-an pertanyaan dari pemeriksaan yang berjalan selama sembilan jam.
""Mengonfirmasi saja saya sebagai saksi, pertanyaan mungkin lebih kurang 20-an,"" ujar Yuddy kepada wartawan di gedung Merah Putih KPK, Kuningan, Jakarta Selatan, Rabu (23/7/2025).
Meski begitu, Yuddy enggan menjelaskan pertanyaan apa saja yang diterima dari penyidik. Dia mengaku bakal kooperatif dalam perkara yang menjeratnya di KPK ini.
SCROLL TO CONTINUE WITH CONTENT
""Mengenai pokok materi mungkin tanya saja ke penyidik, tadi saya sudah sampaikan. Saya sebagai warga negara kooperatif dengan pemanggilan ini,"" jelas Yuddy.
Yuddy mengaku kondisinya masih sakit. Dia meminta doa agar lekas membaik sehingga dapat menjalani setiap pemeriksaan.
""Mungkin saya mohon doa agar diberikan kesehatan karena saya dalam keadaan sakit itu aja,"" ungkapnya.
Yuddy diperiksa KPK hari ini mulai dari pukul 10.20 WIB dan baru selesai pada 20.20 WIB. Pemeriksaan dilakukan di gedung Merah Putih KPK. Yuddy didalami terkait dana di luar anggaran atau nonbujeter.
""Jadi didalami terkait dengan dana nonbujeter,"" kata Jubir KPK Budi Prasetyo kepada wartawan di gedung Merah Putih KPK, Kuningan, Jakarta Selatan, Rabu (23/7).
Budi menjelaskan sebelumnya KPK telah memeriksa Divisi Hukum BJB mengenai payung hukum dana non-budgetary. Hal ini dilakukan terkait dengan konstruksi perkara dari pengadaan iklan tersebut yang ditemukan selisih.
Pengadaan iklan yang dilakukan tanpa melalui proses lelang ini pun memunculkan selisih dalam pencairan anggaran. Sehingga KPK melakukan pendalaman berharap ada tidaknya payung hukum yang menjadi dasar dana di luar anggaran resmi.
""Sehingga kebutuhan KPK melakukan pemeriksaan terhadap Divisi Hukum BJB adalah untuk melihat apakah ada payung hukumnya terkait dengan pengolahan dana nonbujeter tersebut, atau ini menjadi diskresi atau kebijakan para petinggi di BJB,"" jelas Budi.
""Jadi apakah dana itu diperuntukkan atau diberikan ke pihak siapa saja, atau peruntukannya untuk apa saja, nah itu semuanya didalami. Termasuk apakah ada pemberian kepada para penyelenggara negara, itu juga didalami oleh penyidik,"" imbuhnya.
Dalam kasus BJB ini, KPK telah menetapkan lima tersangka. Mereka adalah Yuddy Renaldi selaku eks Dirut Bank BJB; Widi Hartono (WH) yang menjabat Pimpinan Divisi Corporate Secretary Bank BJB; serta Ikin Asikin Dulmanan (IAD), Suhendrik (S), dan Sophan Jaya Kusuma (RSJK) selaku pihak swasta.
Perbuatan kelimanya diduga telah menimbulkan kerugian negara hingga Rp 222 miliar. KPK menduga duit tersebut masuk sebagai dana pemenuhan kebutuhan nonbujeter.
Para tersangka saat ini belum ditahan. Tapi KPK sudah minta Ditjen Imigrasi mencegah mereka ke luar negeri selama enam bulan dan bisa diperpanjang sesuai kebutuhan penyidikan.

Simak juga Video: Korupsi BJB: Anggaran Rp 409 Miliar, Realisasi Rp 100 Miliar

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8026063/9-jam-diperiksa-kpk-eks-dirut-bjb-ngaku-dicecar-20-pertanyaan
