content,question,answer
"JAKARTA, KOMPAS.com- Kepala Badan Bergizi Nasional (BGN)Dadan Hindayananbakal mengecek kasuskeracunan siswaakibat mengkonsumsiMakan Bergizi Gratis(MBG) diSMPN 8 Kupang, Nusa Tenggara Timur (NTT). Ada 111 siswa yang diduga keracunan usai menyantap MBG.
“Sedang dicek detil penyebabnya,” kata Dadan singkat saat dikonfirmasi Kompas.com, Rabu (23/7/2025).
Sebelumnya, sebanyak 111 siswa SMPN 8 Kota Kupang, Nusa Tenggara Timur (NTT), dilarikan ke sejumlah rumah sakit, diduga alami keracunan usai menyantap MBG di sekolah tersebut pada Senin (21/7/2025).
Baca juga:Seratusan Murid SMP di Kupang Diduga Keracunan MBG, Ini Tanggapan Gubernur NTT
Kasus ini menambah deret panjang masalah keracunan program MBG, setelah sebelumnya ditemukan kasus serupa di beberapa sekolah.
Kepala SMP Negeri 8 Kota Kupang, Maria Th. Roslin S. Lana mengatakan, ratusan murid mengalami sakit perut usai mengonsumsi MBG.
Roslin belum memastikan, ratusan siswa ini mengalami keracunan akibat mengonsumsi MBG tersebut.
""Totalnya ada 111 siswa yang tersebar di kelas VII hingga IX. Mereka kini dirawat di 3 rumah sakit itu,"" kata Roslin, Selasa (22/7/2025).
Baca juga:Truk MBG Seruduk Motor dan Minibus di Bandung Barat, Satu Orang Tewas
Ratusan murid itu menjalani perawatan medis di Rumah Sakit Umum Daerah (RSUD) SK Lerik, Rumah Sakit Siloam dan Rumah Sakit Mamami.
Roslin mengatakan, program MBG ini dimulai sejak tanggal 21 Februari 2025 di SMP Negeri 8 Kota Kupang.
""Dimulai sejak 21 Februari lalu. Untuk kemarin itu mereka sudah makan, tapi hari ini belum makan,"" kata dia.
Mei lalu, Badan Pengawas Obat dan Makanan (BPOM) mencatat 17 kasus keracunan dan 8 kasus nonkeracunan terkait dengan pelaksanaan Program andalam Presiden Prabowo Subianto tersebut di 10 provinsi.
“Berdasarkan pemantauan kami terhadap program MBG, terdapat 17 kasus keracunan,” kata Kepala BPOM Taruna Ikrar dalam rapat bersama Komisi IX DPR RI, Rabu (21/5/2025).","SMPN 8 Kupang, sejak berapa lama MBG digunakan oleh siswa?",Dengan kata lain tidak ada informasi yang jelas dari teks.
"JAKARTA, KOMPAS.com- Ruang sidangMahkamah Konstitusi(MK) sejenak menjadi ruang konser dua saksi uji materi undang-undang hak cipta nomor 28 tahun 2014 yang digelar Selasa (22/7/2026).
Dua saksi pemohon itu adalahLesti KejoradanSammy Simorangkir.
Awalnya, Ketua MK Suhartoyo meminta agar Lesti menyanyikan lagu ciptaannya sendiri.
""Lesti punya lagu ciptaan sendiri tidak?"" kata hakim.
""Punya, Pak,"" kata Lesti.
Baca juga:Putusan Pemisahan Pemilu Digugat, MK Diminta Batalkan Putusannya Sendiri
""Seperti apa lagu ciptaannya? Biar kami dengar. Kalau yang lagu lain jangan dinyanyikan karena sedang disengketakan, kan. Kalau ciptaan sendiri kan boleh. Coba satu bait saja,"" ucap Suhartoyo.
Di tengah-tengah nyanyian Lesti, ada peserta sidang yang sempat bertepuk tangan, namun ditegur langsung oleh Suhartoyo.
""Jangan tepuk ya,"" kata Suhartoyo.
Setelah Lesti, giliran Sammy yang ditanya Suhartoyo apakah punya lagu ciptaannya sendiri yang bisa dinyanyikan di ruang sidang.
""Kalau Sammy, yang ciptaan sendiri, ketika di Kerispatih kan ada lagu yang bagus itu. Tapi, yang ciptaan Sammy sendiri, lo,"" tutur dia.
Sammy menjelaskan ada beberapa lagu ciptaannya saat masih bersama Kerispatih dulu, dan beberapa lagu bisa dinyanyikan secara langsung.
Baca juga:Gara-gara Telat, Ariel Dilarang Masuk Ruang Sidang Uji Materi UU Hak Cipta: Saya Susah Bangun Pagi
""Ya sudah, sekarang dinyanyikan dulu. Yang mana itu lagunya? Yang netral, ya,"" kata Suhartoyo.
""Saya lupa lagi lagunya karena sudah lama, Yang Mulia,"" ucap Sammy.
""Gimana nanti publik kalau yang menyanyikan saja sudah lupa?"" ucap Suhartoyo lagi.
Sammy kemudian menyanyikan lagu ""Rasaku Ini Rasamu.""",Apakah Lesti KejoradanSammy Simorangkir punya lagu ciptaannya yang bisa dinyanyikan?,"Ya, Lesti mempunyai lagu ciptaannya."
"JAKARTA, KOMPAS.com- Pertarungan Menteri Perdagangan (Mendag) 2015-2016, Thomas Trikasih Lembong aliasTom Lembongmelawanjaksa penuntut umum(JPU) berlanjut hingga ke tingkat banding.
Baik Tom Lembong maupun jaksa, sama-sama keberatan atas putusan Pengadilan Tindak Pidana Korupsi (Tipikor) Jakarta Pusat yang menghukum mantan anak buah Presiden RI Ke-7, Joko Widodo (Jokowi) tersebut.
Pihak Tom Lembong secara resmi telah mendaftarkan permohonan banding ke Pengadilan Negeri Jakarta Pusat, Selasa (22/7/2025).
Baca juga:Mahfud Bicara Vonis Tom Lembong: Tak Ada Mens Rea sampai Tak Bisa Dipidana
“Insya Allah hari ini kami akan resmi memasukkan dokumen pernyataan banding atas kasus, atas putusan Pak Tom Lembong,” ujar Zaid saat ditemui di lokasi.
Permohonan banding nantinya akan diadili oleh Pengadilan Tinggi (PT) DKI Jakarta yang masih berkedudukan sebagaijudex facti(hakim yang memeriksa fakta).
Menurutnya, tim kuasa hukum akan menuangkan semua bantahan atas pertimbangan hukum pengadilan tingkat pertama dalam memori banding yang bakal diserahkan dalam beberapa waktu ke depan.
“Apa saja yang menjadi pertimbangan oleh majelis hakim akan kita bantah dalam memori banding ini,” ujar Zaid.
Di antara materi memori banding itu, kata Zaid, adalah kejanggalan pada pertimbangan hukum pengadilan tingkat pertama yang tidak sesuai fakta persidangan.
“Akan kita tuangkan seluruh kejanggalan-kejanggalan atau pertimbangan-pertimbangan majelis hakim yang tidak sesuai dengan fakta persidangan,” tutur Zaid.
Baca juga:Ada Perintah dari Atas yang Disorot Mahfud MD di Kasus Tom Lembong
Pertimbangan putusan yang menghukum kliennya 4,5 tahun penjara, kata Zaid, mengesampingkan fakta persidangan yang menyebut adanya perintah Jokowi dalam kegiatan importasi gula.
Kebijakan Tom Lembong menerbitkan persetujuan impor (PI) gula kristal mentah (GKM) untuk pembentukan stok gula nasional dan mengendalikan harga berdasar pada perintah Jokowi.
""Putusan hakim juga mengenyampingkan fakta dan bukti di persidangan bahwasanya itu (kebijakan Tom) adalah perintah Presiden Joko Widodo pada saat itu,"" kata Zaid.
KOMPAS.com/Syakirun Ni'amKuasa hukum Menteri Perdagangan (Mendag) 2015-2016, Thomas Trikasih Lembong alias Tom Lembong resmi mengajukan banding atas vonis 4,5 tahun penjara yang dijatuhkan Pengadilan Tipikor Jakarta Pusat, Selasa (22/7/2025).
Selain itu, keputusan Tom Lembong melibatkan koperasi TNI-Polri dalam operasi pasar juga tak lepas dari izin presiden.
Koperasi itu, meski bukan perusahaan BUMN, bahkan oleh Jokowi disebut sebagai pelat merah.
Informasi ini merujuk pada keterangan Ketua Umum koperasi TNI Angkatan Darat (AD), Induk Koperasi Kartika (Inkopkar) 2015-2016, Mayjen TNI (Purn) Felix Hutabarat.",Apakah Tom Lembong telah resmi menyusun permohonan banding ke pengadilan negeri?,"Ya, dia telah mendaftarkan."
"JAKARTA, KOMPAS.com -Ketua Umum Partai GolkarBahlil Lahadaliatidak mau berkomentar banyak soal potensiPDI-Pmasuk ke kabinet setelah PresidenPrabowo SubiantomenyebutGerindradan PDI-P adalah adik kakak.
Bahlil menyatakan, keputusan PDI-P masuk kabinet atau tidak merupakan hak prerogatif Prabowo sebagai presiden.
""Itu hak prerogatif Bapak Presiden. Kita semua sebangsa setanah air, harus baik-baik, ya,"" kata Bahlil di Kompleks Istana Kepresidenan, Jakarta Pusat, Selasa (22/7/2025).
Baca juga:Prabowo Singgung Gotong Royong ke PDI-P, Puan hingga Bambang Pacul Tersenyum
Bahlil tidak merespons lebih jauh jika keberadaan PDI-P berpotensi mengancam partainya.
Ia hanya menekankan bahwa setiap partai harus memiliki hubungan baik, termasuk dengan partai-partai yang tidak bergabung dalam koalisi seperti PDI-P.
""Semua kita adik kakak. Harus baik, dong,"" tutur Bahlil.
Baca juga:Prabowo: PDI-P dan Gerindra Kakak-Adik, tetapi Enggak Boleh Koalisi
Menteri Energi dan SumBer Daya Mineral ini pun mengeklaim bahwa hubungan Gerindra dan Golkar berjalan baik selama ini.
Bahkan, kata Bahlil, hubungan Golkar dan Gerindra pun bagaikan kakak dan adik, sebagaimana hubungan PDI-P dan Gerindra.
""(Hubungan kami) Adik kakak, dong,"" selorohnya.
Diberitakan sebelumnya, Presiden Prabowo Subianto menyatakan, Partai Gerindra dan PDI-P merupakan kakak dan adik.
Meski hubungan kedua partai bagaikan saudara kandung, Prabowo menyebutkan bahwa PDI-P dan Gerindra tidak boleh berada dalam koalisi bila merujuk praktik demokrasi di negara barat.
""Ini sebenarnya PDI-P sama Gerindra ini kakak-adik. Tapi, benar kita ini karena apa ya, demokrasi kita kan diajarkan oleh negara barat, jadi enggak boleh koalisi satu,"" kata Prabowo, dalam peluncuran Koperasi Desa Merah Putih di Klaten, Jawa Tengah, Senin (21/7/2025).
Baca juga:Prabowo Dinilai Tegaskan PDI-P Masih di Luar Kekuasaan, meski Anggap Kakak Adik
Prabowo menuturkan, sebagai negara demokrasi, harus ada pihak yang mengoreksi kebijakan pemerintah. PDI-P dalam hal ini tidak menjadi bagian dari koalisi bersama Gerindra.
Perwakilan PDI-P juga tidak ada dalam Kabinet Merah Putih dan lebih banyak menduduki kursi di parlemen.
""Itu memang benar, harus ada yang di luar (koalisi), koreksi kita gitu, ngoreksi. Tapi, ya sedulur, ya kan?"" ucap Prabowo.
Baca juga:Pengamat Nilai Restu Jokowi Halangi PDI-P Masuk Koalisi Prabowo",Apakah Bahlil akan berkomentar tentang potensi gerindra dalam kabinet?,"Tidak, dia menyatakan itu hak prerogatif Presiden. Kita semua sebangsa setanah air harus baik-baikya."
"TUBAN, KOMPAS.com- Baru sehari diresmikan Presiden Prabowo secara virtual,Koperasi Desa Merah Putih(KDMP) Desa Pucangan, Kecamatan Montong, Kabupaten Tuban, Jawa Timur yang menjadi percontohan, Senin (21/7/2025) ditutup.
Semua barang yang ada di gerai koperasi tersebut dikeluarkan dan ditarik oleh perusahaan mitra KDMP Desa Pucangan.
Termasuk atribut dan billboard gerai bergambar Presiden Prabowo Subianto.
KDMP yang bergerak dalam bidang penjualan Gerai Sembako, Apotek dan Permodalan Sari'ah tersebut telah menjalin kerja sama kemitraan dengan PT Perekonomian Sunan Drajat yang merupakan unit usaha Pondok Pesantren Sunan Drajat Lamongan.
Baca juga:Baru Sehari Diresmikan, Koperasi Desa Merah Putih di Tuban Tutup, Apa Masalahnya?
Namun, Pengurus KDMP Desa Pucangan, Nasiruddin justru menyebut telah mendapatkan dukungan penuh dari BUMN dan PT Pupuk Indonesia saat berinteraksi secara virtual dengan Presiden Prabowo Subianto.
Pernyataan pengurus dan Pengawas KDMP Desa Pucangan tersebut pun sangat disayangkan oleh Gus Anas Al Khifni selaku Direktur Perekonomian Pondok Pesantren Sunan Drajat yang telah menjadi mitra strategis selama 1,7 tahun.
Gus Anas Al Khifni mengatakan, pihaknya sejak awal berdiri KDMP Desa Pucangan telah memberikan pendampingan hingga akhirnya menjadi KDMP percontohan di Jawa Timur yang diresmikan oleh Presiden Prabowo Subianto.
""Kami kerja sama dan bermitra mulai awal berdiri sampai diresmikan kemarin, kami pendampingan mulai dari support manajemen, suplai barang, dan sumber daya manusia, termasuk renovasi bangunan juga,"" kata Gus Anas, kepadaKompas.com, Selasa (22/7/2025).
Baca juga:Koperasi Merah Putih di Tuban Tutup Sehari Usai Diresmikan, Mitra: Support Kami Tak Disebut
Gus Anas menyebutkan, pihaknya sebagai mitra selama ini telah memberikan banyak kontribusi.
Baik dalam proses perencanaan, pendirian, pengurusan legalitas, hingga kegiatan operasional KDMP.
Namun, kontribusi tersebut tidak diakui dalam kegiatan resmi KDMP yang dijadikan percontohan di Jawa Timur.
Sehingga pihaknya terpaksa memilih menarik diri dan melakukan pemutusan kerjasama secara sepihak.
Pihaknya tidak ingin dalam kerja sama kemitraan tersebut, ada penumpang gelap yang sengaja ingin memanfaatkan situasi atau kesempatan yang merugikan pihaknya saat peresmian KDMP tersebut.
""Bukan persoalan kami tidak disebut saat peresmian itu, tetapi kami khawatir ada pihak yang menumpangi demi kepentingannya di hadapan pak presiden,"" ujarnya.
Baca juga:Bupati Bandung Minta Ketua Koperasi Merah Putih Bukan Saudara atau Tim Sukses Kades
Gus Anas Al Khifni menyampaikan, manajemen Perekonomian Pondok Pesantren Sunan Drajat siap mendukung untuk mewujudkan program KDMP yang telah dicanangkan oleh Presiden Prabowo Subianto.
""Alhamdulillah saat ini sudah ada beberapa titik Koperasi Desa yang sudah kami support baik permodalannya maupun pendampingannya, seperti di Gresik, Palang dan Rengel, Baureno dan Bojonegoro,"" tuturnya.
Pihak Kepala Desa Pucangan dan Ketua KDMP sempat menyampaikan kronologi tidak disebutnya peran Perusahaan Perekonomian Pondok Pesantren Sunan Drajat saat pemutusan kerja sama tersebut.
""Mereka bicara ke kami gugup, sehingga tidak menyebutkan support kami, tapi anehnya malah menyebutkan support dari BUMN, padahal sejatinya itu tidak ada,"" ucapnya.
Sementara,Kompas.comyang berusaha mengkonfirmasi Kepala Desa Pucangan hingga saat ini masih belum mendapatkan respons.",Apakah Presiden Prabowo Subianto telah dismasi secara virtual oleh Koperasi Desa Merah Putih?,"Ya, semua barang yang ada di gerai koperasi tersebut dikeluarkan dan ditutup."
"JAKARTA, KOMPAS.com-Kejaksaan Agung(Kejagung) mengajukan permohonanekstradisiuntuk membawa pulang tersangka kasus pengadaan laptop Chromebook di Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi (Kemendikbudristek),Jurist Tan, yang kini berada di luar negeri.
Permohonan ini diajukan meski Jurist Tan belum ditetapkan sebagai daftar pencarian orang (DPO). Namun pada saat yang sama, Kejagung telah mengajukan permohonanred noticekepada Interpol untuk membantu menangkapnya.
Baca juga:Kejagung Ajukan Ekstradisi untuk Jurist Tan Tersangka Kasus Chromebook
Jaksa Agung Muda Tindak Pidana Khusus (Jampidsus) Kejagung Febrie Adriansyah mengatakan, permohonan ekstradisi diajukan karena mantan Staf Khusus Mendikbudristek Nadiem Makarim itu diduga sudah lama berada di luar negeri.
“Sudah diajukan ekstradisi,” ujar Febrie saat dikonfirmasi, Selasa (22/7/2025).
Meski begitu, ia enggan mengungkap dimana lokasi Jurist Tan.
Sejauh ini, Jurist Tan sudah empat kali dipanggil penyidik untuk diperiksa. Namun, ia mangkir dari seluruh panggilan.
Tiga panggilan pertama dilakukan Kejagung pada 3, 6 dan 17 Juni 2025. Saat itu, Jurist Tan masih berstatus sebagai saksi dalam kasus Chromebook yang terjadi pada medio 2019-2020 itu.
Bahkan, tanggal 17 Juni merupakan tanggal yang diajukan Jurist Tan karena sebelumnya meminta penundaan pemeriksaan. Saat itu, ia berdalih, ada kesibukan dan acara keluarga yang tak bisa ditinggalkan.
Baca juga:Jurist Tan Berkali-kali Mangkir, Apa Langkah yang Akan Diambil Kejagung?
Pada 15 Juli 2025, penyidik kembali melayangkan panggilan pemeriksaan pada 18 Juli 2025. Namun, sebelum pemeriksaan itu dilakukan, ia sudah ditetapkan sebagai tersangka pada 16 Juli 2025.
Meski sudah empat kali mangkir, penyidik tak memasukkan Jurist Tan masuk ke dalam DPO. Penyidik justru memilih mengajukan permohonan penerbitanred noticekepada Interpol untuk membantu mencari keberadaan Jurist Tan pada 16 Juni lalu.
Meski begitu,Kompas.comtelah mencoba menelusuri informasi mengenai status Jurist Tan melalui lamanInterpol.int. Namun, tidak ditemukan informasi mengenai statusred noticeJurist Tan.
Ketika memasukkan keyword ""Indonesia"" di mesin pencarian, hanya ada delapan nama orang yang telah terbit red noticenya.
Baca juga:Eks Stafsus Nadiem Jurist Tan Mangkir Lagi Pemanggilan Kejagung
Mereka adalah Fredy Pratama (kasus narkoba), Pietruschka Evelina Fadil (kasus Wanaartha Life), Pietruschka Manfred Armin (kasus Wanaartha Life), dan Mendomba Randy (penyelundupan senjata).
Kemudian, Kurniawan Edo (skandal Wirecard), Richard Jude Daschbach (kasus kejahatan seksual anak di bawah umur), Sofyan Iskandar Nugroho (kasus kejahatan seksual anak di bawah umur) dan Djatmiko Febri Irwansyah (kasus pembunuhan).
Sepekan kemudian, Kejagung mengklaim telah mengajukan permohonan ekstradisi agar Jurist Tan dipulangkan ke Indonesia.",Apa tujuan dari permohonan ekstradisi yang diajukan oleh Kejagung?,Memperoleh informasi terkini tentang lokasi Jurist Tan.
"JAKARTA, KOMPAS.com -Sistemtransportasiumum diJakartakini menjadi perhatian dunia internasional.
Hal ini diungkapkan langsung oleh Gubernur DKI Jakarta, Pramono Anung, setelah menghadiri forum Perserikatan Bangsa-Bangsa (PBB) di New York, Amerika Serikat, pada Senin (14/7/2025).
Dalam kunjungan kerjanya, Pramono menegaskan bahwa kondisi lalu lintas di Jakarta saat ini lebih baik dibandingkan kota metropolitan New York.
Klaim ini bukan tanpa dasar. Berdasarkan data pemeringkatan global tingkat kemacetan, Jakarta kini berada di posisi ke-90, jauh menurun dari posisi sebelumnya yang konsisten berada di 10 besar kota termacet dunia.
“Sekarang ini dibandingkan dengan New York, Jakarta jauh lebih baik. Dulu Jakarta enggak pernah enggak 10 besar kota macet, sekarang ini New York tetap kota macet, Jakarta udah nomor 90,” ujar Pramono saat ditemui di Pasar Santa, Jakarta Selatan, Selasa (22/7/2025).
Baca juga:Skywalk seperti Bundaran HI Akan Dibangun di Jakarta Barat
Menurut Pramono, kemajuan signifikan ini terjadi berkat peningkatan infrastruktur dan integrasi sistem transportasi massal, termasuk kehadiranMRT,LRT,Transjakarta,Transjabodetabek, danKRL.
Ia menilai, berbagai moda tersebut telah memberi masyarakat Jakarta alternatif mobilitas yang lebih efisien dan terjangkau.
“Mudah-mudahan ini menjadi penopang utama untuk mengatasi persoalan kemacetan di Jakarta,” imbuhnya.
Langkah ini sejalan dengan strategi push-and-pull yang diterapkan Pemerintah Provinsi DKI untuk mengurangi ketergantungan masyarakat terhadap kendaraan pribadi, sekaligus memperkuat kualitas pelayanan angkutan umum.
Baca juga:Ditemukannya Terakota Kuno Saat Penggalian Proyek MRT Jakarta
Tak hanya soal transportasi, undangan Jakarta dalam forum PBB juga berkaitan dengan dua aspek lain, yakni pertumbuhan ekonomi masyarakat urban, serta upaya Pemprov DKI dalam perlindungan terhadap perempuan dan penyandang disabilitas.
Pramono menyebut, capaian ini menunjukkan bahwa Jakarta telah memenuhi standar keberlanjutan dan inklusivitas di mata dunia.
“Pertumbuhan ekonomi rakyat dan perlindungan kelompok rentan dianggap bisa jadi role model oleh dunia internasional,” ujarnya.
Baca juga:Rano Karno Ungkap 8 Langkah Pemprov untuk Atasi Kemacetan Jakarta
Dalam kunjungannya ke New York, Pramono juga sempat meninjau kawasan High Line, yaitu bekas rel kereta api yang diubah menjadi taman kota modern.
Ia menyatakan keinginannya untuk menerapkan konsep serupa di Jakarta, dengan memanfaatkan lahan milik pemerintah yang belum terpakai.
“Kalau itu bisa dikembangkan, pembebasan lahannya pasti hampir tidak ada. Ini bisa jadi ruang publik baru yang berkualitas untuk masyarakat,” kata dia.
Baca juga:Terowongan MRT Terdalam di Indonesia Dibangun di Proyek Fase 2A Bundaran HI–Kota
Pemprov DKI Jakarta juga tengah memperluas kerja sama internasional, termasuk dengan kota Heidelberg (Jerman) dan Buenos Aires (Argentina).
Kolaborasi ini mendukung ambisi Jakarta untuk menjadi bagian dari 50 kota terbaik di dunia.
(Reporter: Ruby Rachmadina | Editor: Fitria Chusna Farisa)",Apakah sistem transportasi di Jakarta menjadi perhatian internasional?,"Ya, Pramono memperkenalikan sistem transportasi sebagai topik global."
"LAMPUNG, KOMPAS.com– Pegawaibank BUMNberinisial CA yang menilap dana nasabah sebesar Rp 17,9 miliar diketahui menginvestasikan uang hasil kejahatannya ke bisnis kuliner dan pembelian tanah.
Asisten Pidana Khusus (Aspidsus) Kejaksaan Tinggi (Kejati) Lampung, Armen Wijaya mengatakan, penyidik telah menyita sejumlah aset yang diduga berkaitan langsung dengan tindak pidana yang dilakukan tersangka.
“Dari hasil penggeledahan di beberapa lokasi, kita menemukan barang bukti yang memiliki hubungan langsung dengan perbuatan tersangka, sudah kita sita,” kata Armen saat dihubungi, Selasa (22/7/2025) siang.
Baca juga:Tilap Uang Nasabah Rp 17,9 Miliar, Pegawai Bank BUMN di Pringsewu Lampung Jadi Tersangka
Menurut Armen, sebagian dana nasabah itu telah digunakan tersangka untuk investasi di beberapa restoran.
“Taksiran uang investasi ini mencapai Rp 552,6 juta,” ujarnya.
Selain itu, penyidik juga menemukan aset berupa tanah dan bangunan di wilayah Gunung Kanci, Kabupaten Pringsewu, dengan nilai taksiran mencapai Rp 450 juta.
“Lalu beberapa unit kendaraan dan tas bermerek,” kata Armen.
Sebelumnya diberitakan, CA yang merupakan pegawai bank BUMN di Kabupaten Pringsewu, Lampung, ditetapkan sebagai tersangka atas dugaan penilapan dana nasabah hingga mencapai Rp 17,9 miliar.
Baca juga:3 Modus Pegawai Bank BUMN di Lampung Kuras Rp 17,9 Miliar Dana Nasabah",Apa investasi yang dilakukan tersangka dengan uang dana nasabuh?,Investasikan di bisnis kuliner dan pembelian tanah.
"JAKARTA, KOMPAS.com- Wakil KetuaKomisi VDPRSyaiful Hudamendesak Kementerian Perhubungan (Kemenhub) mengusut tuntas kasus kebakaranKM BarcelonaV di perairan Talise, Sulawesi Utara.
Tegasnya, Kemenhub harus menjadi pihak yang mencegah kembali terjadinya kecelakaan kapal. Di mana sebelumnya juga terdapat kecelakaanKMP Tunu Pratama Jayadi Selat Bali.
""Kita tidak bisa membiarkan insiden demi insiden yang terjadi pada transportasi laut. Kebakaran ini menunjukkan masih lemahnya sistem keselamatan dan perlindungan penumpang transportasi laut,"" ujar Huda dalam keterangannya, Senin (21/7/2205).
""Usut tuntas kebakaran kapal ini. Cari tahu sumber awal kebakaran dan apa yang menyebabkan kebakaran itu terjadi. Detail waktu awal kebakaran hingga proses kebakaran harus jelas dan detail,"" sambungnya menegaskan.
Baca juga:Menhub Minta KNKT Selidiki Kebakaran KM Barcelona VA
Di samping itu, dua kecelakaan kapal yang terjadi dalam beberapa waktu terakhir menunjukkan lemahnya fungsi pengawasan dari Kemenhub.
Menurutnya, kecelakaan kapal penumpang tidak boleh terulang kembali, karena taruhannya adalah nyawa manusia.
""Artinya jika ada pengawasan ketat dari pihak berwenang maka potensi kecelakaan fatal yang bisa merenggut nyawa manusia bisa ditekan seminimal mungkin,"" ujar Huda.
""Kami berharap ada langkah terobosan dari Kementerian Perhubungan untuk memastikan kelayakan kapal penumpang di tanah air,"" sambung politikus Partai Kebangkitan Bangsa (PKB) itu.
Baca juga:KM Barcelona Terbakar, Kemenhub Didesak Evaluasi Pengawasan Kelayakan Kapal
Diketahui, insiden kebakaran terjadi pada Kapal Motor (KM) Barcelona V yang sedang berlayar dari Kepulauan Talaud menuju Manado, Sulawesi Utara, pada pada Minggu (20/7/2025).
Insiden kebakaran terjadi sekitar pukul 13.50 WITA, saat kapal tersebut tengah berlayar dari Pelabuhan Melonguane, Kepulauan Talaud, menuju Manado.
Hingga Minggu (20/7/2025) malam, data sementara mencatat sebanyak 295 orang berhasil diselamatkan, sementara lima orang dinyatakan meninggal dunia.","Kapal BarcelonaV kebakarannya, apa?",Usut tuntas.
"JAKARTA, KOMPAS.com -PresidenPrabowo Subiantomengingatkan pentingnyaderegulasidanbelanja tepat sasaransaat rapat terbatas (ratas) dengan sejumlah menterinya di Istana Kepresidenan Jakarta, Selasa (22/7/2025).
Menteri KeuanganSri MulyaniIndrawati mengatakan, arahan itu disampaikan Prabowo saat membahas langkah reformasi fiskal, fokus belanja negara, serta pengendalian defisit yang tetap terjaga.
“Arahan Bapak Presiden sudah sangat lengkap. Reform di sisi penerimaan negara tetap dilakukan sehingga kita bisa mendapatkan penerimaan negara yang memadai. Belanja difokuskan kepada program-program penting,” ujar Sri Mulyani usai rapat, Selasa.
Baca juga:Sri Mulyani Laporkan Rancangan Nota Keuangan dan RAPBN 2026 ke Prabowo
Ia mengungkapkan, Prabowo menaruh perhatian pada upaya menjaga defisit anggaran pada level yang baik.
Di sisi lain, memastikan APBN tetap berperan sebagai instrumen penopang pertumbuhan ekonomi nasional.
“Beliau mengatakan apabila bisa dibuat sehinggamarket confidencebagus, ekonomi kita tetap jalan,supportterhadap ekonomi melalui APBN,counter cyclicalbisa jalan,” kata Sri Mulyani.
Baca juga:Update dari Prabowo: Danantara Sudah Punya Aset Rp 16.310 Triliun
Sementara itu, deregulasi diperlukan untuk menciptakan iklim usaha yang kondusif, sekaligus mendorong pertumbuhan ekonomi yang berkelanjutan.
“Bapak Presiden menekankan untuk berbagai langkah-langkah deregulasi sehingga perekonomian bisa tumbuh, tidak selalu tergantung kepada APBN,"" kata Sri Mulyani.
""Jadi dalam hal ini berbagai perbaikan dari regulasi-regulasi agar mempermudah dunia usaha, investasi, perdagangan, dan terutama juga mendorong banyak Danantara serta tata kelola yang baik,” imbuh dia.
Baca juga:Sri Mulyani Telah Salurkan Rp 20,26 Triliun Bansos Sembako ke 18,27 Juta Penerima
Selain Sri Mulyani, rapat terbatas hari ini juga diikuti sejumlah pejabat di  bidang perekonomian, seperti Menteri Koordinator Bidang PerekonomianAirlangga Hartarto, Menteri Keuangan Sri Mulyani Indrawati, hingga Wakil Menteri Keuangan Suahasil Nazara dan Thomas Djiwandono.
Dalam rapat kali ini, Kepala Negara menerima laporan perkembangan pembahasan Anggaran Pendapatan dan Belanja Negara (APBN) yang tengah berlangsung di Dewan Perwakilan Rakyat (DPR).",Apakah Presiden Prabowo Subianto menyarankan bagi pemerintah untuk mengendalikan defisit anggaran?,"Ya, mereka berfokus terhadap upaya ini."
