content,question,answer
"SURABAYA, KOMPAS.com- Wakil Wali Kota Surabaya, Armuji, atau yang akrab disapa Cak Ji, menggelar mediasi lanjutan terkait dugaanpenipuan investasidi Rumah Aspirasi pada Selasa (22/7/2025).
Mediasi ini mempertemukan para korban dengan agen investasi,Ayu Wulandari, yang didampingi camat dan lurah setempat.
Sebanyak 17 orang hadir dalam mediasi tersebut, dengan total kerugian yang dialami mencapai sekitar Rp 4,2 miliar.
Salah seorang korban, Ricky Misbach, menjelaskan modus operandi penipuan yang dilakukan Ayu.
Ia mengungkapkan bahwa Ayu mengatasnamakan Bank Mega sebagai pihak kreditur dana take over pada tahun 2023.
Baca juga:Mediasi Lanjutan Dugaan Penipuan Tanah Kavling di Tambak Medokan Ayu, Aset 1,7 Hektar Dibagikan kepada Korban
“Semakin lama bunga yang ditawarkan kepada customer semakin besar. Yang mulanya hanya 10 persen, lalu berkembang menjadi 40 persen. Kini, total kerugian yang saya alami mencapai sekitar Rp 300 juta,” ujar Ricky kepada Cak Ji.
Ricky juga menambahkan bahwa pada tahun 2025, muncul masalah ketika keuntungan yang seharusnya dibayarkan tidak kunjung diterima.
“Setelah itu di tahun 2025 mulai ada problem, dimana keuntungan yang seharusnya dibayarkan itu, gak dibayarkan,” ujarnya.
Pada Mei 2025, Ayu tiba-tiba sulit dihubungi dan meminta para korban berkomunikasi dengan orang tuanya.
Dalam mediasi yang dilakukan dengan orang tua Ayu, mereka menjanjikan pengembalian uang kerugian pada bulan Juni 2025, namun kemudian diundur ke Juli 2025.
Hingga kini, tidak ada kabar lanjutan mengenai pengembalian tersebut.
“Terus saya sempat juga dijanjikan katanya manajernya dari Bank Mega mau ngelunasi uang saya senilai Rp 25 juta di tanggal 25 Juli 2025,” ungkap Ricky.
Baca juga:Dimediasi Armuji, Kasus Penipuan Tanah Kavling Medokan Ayu Capai Kesepakatan
Lebih lanjut, Ricky menuduh Ayu sengaja menonaktifkan semua media sosialnya pada akhir Juni 2025 untuk menghilangkan bukti.
“Karena terlapor (Ayu) sempat tanya ke salah satu korban ‘gimana ya cara non-aktifkan Instagram’. Terus semua media sosialnya WhatsApp, TikTok, Instagram semuanya hilang gak bisa dihubungi,” ujarnya.
Para korban lainnya juga melaporkan kerugian yang bervariasi, mulai dari Rp 17 juta hingga Rp 600 juta.",Apakah Ayu Wulandari adalah wali kota Surabaya yang mengorganisir mediasi untuk penipuan investasi?,"Ya, Cak Ji atau Armuji dikenali sebagai wali kota dan telah melakurkan undian ini."
"PEKANBARU, KOMPAS.com–Menteri Kehutanan(Menhut)Raja Juli Antonimeninjau langsung titik apikebakaran hutandan lahan (karhutla) di Kabupaten Rokan Hilir, Riau, Rabu (23/7/2025).
Pemantauan dilakukan menggunakan helikopter bersama Pangdam I Bukit Barisan Mayjen TNI Rio Firdianto, Danlanud Roesmin Nurjadin Marsma TNI Abdul Haris, serta Kapolda Riau Irjen Herry Heryawan.
Menurut Raja Juli, secara umum titik api yang terpantau dari udara sudah menurun. Namun, ia mengingatkan agar masyarakat tetap waspada terhadap kondisi cuaca yang sangat kering.
""Titik api sudah menurun. Tinggal nanti memang cuaca ekstrem kita antisipasi. Laporan dari BMKG ini tingkat kekeringannya ekstrem, jadi sangat mudah terbakar,"" kata Raja Juli di Lanud Roesmin Nurjadin, Pekanbaru.
Baca juga:Bakar Hutan demi Sawit, Pria 62 Tahun Diringkus di Bengkalis
Ia menyebutkan titik api karhutla terpantau di wilayah KecamatanBangko Pusakodan KecamatanPujud, Rokan Hilir. Lahan yang terbakar diduga baru dibuka dengan cara dibakar.
""Itu kelihatan sekali bahwa memang ini dibakar untuk kepentinganrine kliring(pembukaan lahan baru) antara dua kebun sawit,"" ujar Raja Juli.
Menurutnya, praktik pembukaan lahan dengan cara dibakar merupakan metode lama yang seharusnya tidak digunakan lagi.
""Nanti kita bahas lagi secara lebih detail hasil dari pantauan ini,"" ujar Raja Juli.",Apa situasi kekeringan yang terus di Rokan Hilir?,"Kondisi kekeringan ekstrem, mencapai tingkat kehamaian."
"PASURUAN, KOMPAS.com- Fenomenaembun upasmulai terlihat di kawasanTaman Nasional Bromo Tengger Semerusaatmusim kemarau.
Penurunan suhu udara tersebut terlihat ditandai adanya embun es atau ""frost"" yang menempel di rerumputan.
Fenomena tersebut diperkirakan berlangsung pada puncak musim kemarau di kawasan TNBTS.
""Embun upasterjadi karena udara dingin akibat angin monsun timur yang berembus dari benua Australia. Fenomena ini terjadi ketika suhu udara cukup dingin berkisar antara 5-9 derajat celsius,"" ujar Kepala Bidang (Kabid) di Balai Besar Taman Nasional Bromo Tengger Semeru (BB TNBTS), Septi Eka Wardhani, Rabu (23/07/2025).
Fenomena tersebut hanya dijumpai pada pagi hari atau sebelum matahari terbit dengan sempurna.
Baca juga:Fenomena Embun Upas Tingkatkan Jumlah Kunjungan Wisata ke Gunung Bromo
Embun upasakan menghilang saat matahari mulai meninggi.
Tanda akan munculnyaembun upasadalah cuaca pada sehari sebelumnya sangat panas terik dan pada malam harinya suhu di sekitar mendekati titik beku.
""Fenomena ini tidak hanya terjadi di KawasanGunung Bromo, namun juga di kawasan Ranupane dan Ranu Regulo,"" ujar dia.
Meski cuaca ekstrem dingin masih dalam tahap wajar dan aman untuk pengunjung atau wisatawan yang berkunjung ke Gunung Bromo, pengunjung juga harus membawa alat perlindungan diri terhadap suhu dingin.
Misalnya, menggunakan jaket dan sarung tangan serta penutup kepala yang menutup bagian telinga.
Baca juga:Embun Upas Menyerupai Hamparan Salju Muncul di Bromo, Memperindah Pemandangan
Selain itu, membawa makanan, minuman, atau obat-obatan bila diperlukan.
Sementara itu, Azam Sindi, salah satu pemandu wisata, menyebutkan bahwa pengunjung dapat menikmati atau melihat bubuk es yang terlihat di permukaan pasir atau di padang savana.
""Kemarin (22/07/2025) sangat terasa dingin dan ada embun upas di dedaunan rumput atau di lautan pasir. Di atas jam 07.00 WIB sudah mencair,"" katanya.",Apa fenomena yang terlihat di Taman Nasional Bromo Tengger Semeru pada musim kemarau?,Embun upas.
"BANGKA, KOMPAS.com-Eko Susanto(45), seorang penangkap burung liar, ditemukan dalam kondisi lemas di kawasan hutan Desa Munggu, Sungai Selan, Bangka,Kepulauan Bangka Belitungpada Selasa (22/7/2025).
Sebelumnya, Eko dilaporkan hilang dan tak kunjung pulang ke rumah selama tiga hari.
Kepala Kantor SAR Pangkalpinang, I Made Oka Astawa, menjelaskan bahwa Eko ditemukan pertama kali oleh penebang kayu dalam keadaan kebingungan.
""Yang bersangkutan merasa kebingungan tak tahu jalan keluar dari hutan. Kemudian terdengar suara orang menebang pohon, langsung dihampiri,"" kata Oka saat memberikan keterangan kepada awak media pada Selasa malam.
Baca juga:Kebakaran Hutan Makin Meningkat, Riau Tetapkan Status Tanggap Darurat
Setelah bertemu dengan penebang kayu, Eko diantarkan ke rumah warga di pinggir desa, di mana ia menitipkan motornya sebelum masuk ke hutan. ""Eko ini warga Pasir Putih, Pangkalpinang, pergi mencari burung ke Desa Munggu, motornya dititip sebelum masuk hutan,"" ujar Oka.
Dari pemilik rumah tempat Eko menitipkan motornya, diketahui bahwa ia sudah tiga hari tidak muncul untuk mengambil motor tersebut.
Kabar hilangnya Eko kemudian disampaikan kepada Babinsa dan pihak keluarga, yang selanjutnya melaporkan kejadian ini kepada kantor SAR untuk dilakukan pencarian gabungan.
""Tim sejak pagi tadi sudah menyisir kawasan hutan sampai akhirnya Eko ditemukan sudah bergerak keluar. Langsung dibawa petugas ke rumahnya di Pangkalpinang,"" tambah Oka.
Eko diketahui masuk ke dalam hutan pada Minggu pagi untuk menangkap burung dengan sistem jerat pulut.
Pada sore harinya, sekitar pukul 17.00 WIB, Eko berencana untuk keluar dari hutan, namun tiba-tiba merasa kebingungan dan tersesat.
Ia bertahan hidup dengan bekal makanan yang dibawa dari rumah serta air minum yang diperoleh dari hutan.
Baca juga:Dua Tersangka Tambang Ilegal di Hutan Unmul Ditangkap, Salah Satunya Direktur Perusahaan
Akhirnya, pada hari ketiga, Eko mendengar bunyi penebangan pohon dan menghampiri suara tersebut untuk meminta pertolongan kembali ke desa.
""Ditemukan dalam keadaan selamat dengan jarak dua kilometer dari lokasi kejadian awal,"" pungkas Oka.",Apa kondisi burung Eko yang ditemukan?,Lemas.
"TUBAN, KOMPAS.com- Baru sehari diresmikan Presiden Prabowo secara virtual,Koperasi Desa Merah Putih(KDMP) Desa Pucangan, Kecamatan Montong, Kabupaten Tuban, Jawa Timur yang menjadi percontohan, Senin (21/7/2025) ditutup.
Semua barang yang ada di gerai koperasi tersebut dikeluarkan dan ditarik oleh perusahaan mitra KDMP Desa Pucangan.
Termasuk atribut dan billboard gerai bergambar Presiden Prabowo Subianto.
KDMP yang bergerak dalam bidang penjualan Gerai Sembako, Apotek dan Permodalan Sari'ah tersebut telah menjalin kerja sama kemitraan dengan PT Perekonomian Sunan Drajat yang merupakan unit usaha Pondok Pesantren Sunan Drajat Lamongan.
Baca juga:Baru Sehari Diresmikan, Koperasi Desa Merah Putih di Tuban Tutup, Apa Masalahnya?
Namun, Pengurus KDMP Desa Pucangan, Nasiruddin justru menyebut telah mendapatkan dukungan penuh dari BUMN dan PT Pupuk Indonesia saat berinteraksi secara virtual dengan Presiden Prabowo Subianto.
Pernyataan pengurus dan Pengawas KDMP Desa Pucangan tersebut pun sangat disayangkan oleh Gus Anas Al Khifni selaku Direktur Perekonomian Pondok Pesantren Sunan Drajat yang telah menjadi mitra strategis selama 1,7 tahun.
Gus Anas Al Khifni mengatakan, pihaknya sejak awal berdiri KDMP Desa Pucangan telah memberikan pendampingan hingga akhirnya menjadi KDMP percontohan di Jawa Timur yang diresmikan oleh Presiden Prabowo Subianto.
""Kami kerja sama dan bermitra mulai awal berdiri sampai diresmikan kemarin, kami pendampingan mulai dari support manajemen, suplai barang, dan sumber daya manusia, termasuk renovasi bangunan juga,"" kata Gus Anas, kepadaKompas.com, Selasa (22/7/2025).
Baca juga:Koperasi Merah Putih di Tuban Tutup Sehari Usai Diresmikan, Mitra: Support Kami Tak Disebut
Gus Anas menyebutkan, pihaknya sebagai mitra selama ini telah memberikan banyak kontribusi.
Baik dalam proses perencanaan, pendirian, pengurusan legalitas, hingga kegiatan operasional KDMP.
Namun, kontribusi tersebut tidak diakui dalam kegiatan resmi KDMP yang dijadikan percontohan di Jawa Timur.
Sehingga pihaknya terpaksa memilih menarik diri dan melakukan pemutusan kerjasama secara sepihak.
Pihaknya tidak ingin dalam kerja sama kemitraan tersebut, ada penumpang gelap yang sengaja ingin memanfaatkan situasi atau kesempatan yang merugikan pihaknya saat peresmian KDMP tersebut.
""Bukan persoalan kami tidak disebut saat peresmian itu, tetapi kami khawatir ada pihak yang menumpangi demi kepentingannya di hadapan pak presiden,"" ujarnya.
Baca juga:Bupati Bandung Minta Ketua Koperasi Merah Putih Bukan Saudara atau Tim Sukses Kades
Gus Anas Al Khifni menyampaikan, manajemen Perekonomian Pondok Pesantren Sunan Drajat siap mendukung untuk mewujudkan program KDMP yang telah dicanangkan oleh Presiden Prabowo Subianto.
""Alhamdulillah saat ini sudah ada beberapa titik Koperasi Desa yang sudah kami support baik permodalannya maupun pendampingannya, seperti di Gresik, Palang dan Rengel, Baureno dan Bojonegoro,"" tuturnya.
Pihak Kepala Desa Pucangan dan Ketua KDMP sempat menyampaikan kronologi tidak disebutnya peran Perusahaan Perekonomian Pondok Pesantren Sunan Drajat saat pemutusan kerja sama tersebut.
""Mereka bicara ke kami gugup, sehingga tidak menyebutkan support kami, tapi anehnya malah menyebutkan support dari BUMN, padahal sejatinya itu tidak ada,"" ucapnya.
Sementara,Kompas.comyang berusaha mengkonfirmasi Kepala Desa Pucangan hingga saat ini masih belum mendapatkan respons.",Apakah Presiden Prabowo Subianto telah dismisi virtual?,"Ya, Presiden Prabowo Dismisis Virtual."
"SOLO, KOMPAS.com -Mantan Presiden RI, Joko Widodo (Jokowi), menjalani pemeriksaan bersama delapan saksi lainnya atas tudingan ijazah palsu diPolresta Solo, Jawa Tengah, pada Rabu (23/7/2025).
""Kalau enggak salah hari ini sembilan saksi, sudah termasuk bapak,"" kata Kuasa Hukum Jokowi, Firmanto Laksana.
Pemeriksaan ini merupakan tindak lanjut dari pengajuan kepindahan pemeriksaan dari penyidik Polda Metro Jaya.
Baca juga:Diperiksa di Polresta Solo, Jokowi Bawa Ijazah Asli
Diketahui sejak Senin (21/7/2025), penyidik Polda Metro Jaya telah memeriksa delapan saksi di Polresta Solo.
""Dan Selasa (22/7/2025) kemarin 10 saksi. Hari ini yang pasti Bapak memberikan dan memenuhi jadwal pemberian keterangan ini bersama dengan saksi-saksi lain yang memang sedang dilakukan penyidikan di area Polresta Solo,"" paparnya.
Pada pemeriksaan ini, Jokowi membawa sejumlah dokumen ijazah, mulai dari SD, SMP, SMA, dan S1 Fakultas Kehutanan Universitas Gadjah Mada.
""Bapak juga membawa dokumen-dokumen termasuk ijazah asli bapak yang nanti akan diserahkan,"" jelasnya.
Firmanto menekankan Jokowi bersedia jika dokumen ijazahnya itu disita untuk pemeriksaan lebih lanjut.
""Akan disampaikan kepada penyidik dan tergantung penyidik nanti apakah akan menggunakan dan atau melakukan penyitaan,"" ujarnya.
Firmanto berharap dengan pemeriksaan ini, semua pihak yang melakukan ujaran kebencian kepada Jokowi untuk berhenti.
Baca juga:Jokowi Diperiksa di Polresta Solo: Nyatakan Kesiapan Jika Ijazah Disita Penyidik
""Kami semua masyarakat tenang dan semua pihak yang terus menarasikan negatif ini menghentikan,"" jelasnya.
""Sehingga kami juga meminta media untuk mensortir informasi-informasi supaya semuanya menjadi baik,"" lanjutnya.
""Dan tentu harapan kami, kita memiliki hukum ya. Jadi kita memproses ini secara hukum dan oleh karena itu kita akan mencermati, kita akan patuh, kita akan mengikuti seluruh tata cara sesuai dengan hukum yang berlaku,"" tuturnya.",Apa hal pertama yang Jokowi melakukan hari ini?,Menghadiri pemeriksaan bersama saksi lainnya.
"MAKASSAR, KOMPAS.com- Dewan Perwakilan Rakyat Daerah (DPRD) Sulawesi Selatan (Sulsel) mengekspresikan kekecewaannya terhadap Pemerintah Provinsi (Pemprov) yang belum memberikan Surat Keputusan (SK) pengangkatan untuk 8.000 Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) tahun 2025.
Ketua Komisi ADPRD Sulsel, Anwar Purnomo, menyampaikan hal ini saat dikonfirmasi pada Selasa (22/7/2025).
Dia menjelaskan,Pemprov Sulselseharusnya sudah melakukan pengangkatan PPPK tersebut, yang seharusnya dibahas dalam rapat Rancangan Peraturan Daerah (Ranperda) tentang Rencana Pembangunan Jangka Menengah Daerah (RPJMD) tahun 2025–2029.
Baca juga:Ratusan Guru PPPK di Jateng Telantar Tanpa Kepastian Penempatan, DPD dan PGRI Upayakan Mutasi
“Pansus DPRD Sulsel memprotes keras karena anggaran Rp 500 miliar untuk gaji PPPK tidak tercantum dalam Ranperda RPJMD 2025-2029. Rapat berakhir dalam kebuntuan akibat ketidakhadiran alokasi gaji untuk PPPK tahun 2026 dalam dokumen perencanaan,” ungkap Anwar.
Anwar juga menambahkan bahwa alasan Pemprov Sulsel belum memasukkan anggaran belanja pegawai PPPK sebesar Rp 500 miliar per tahun adalah karena masih dalam proses penyusunan.
“Kan ada postur APBD 2025 yang sudah mencantumkan Dana Alokasi Umum (DAU) earmarking senilai Rp 288 miliar untuk pembayaran gaji PPPK sejak Juli 2025. Itu cukup untuk membayar gaji 8.000 PPPK hingga bulan Desember tahun 2025,” jelasnya.
Baca juga:Derita Ratusan Guru PPPK Jateng, Guru Olahraga Mengajar Sejarah hingga Sekolah Berjarak 550 Kilometer
Dia menegaskan bahwa SK Pengangkatan PPPK tahun 2025 ini harus diselesaikan paling lambat pada bulan Oktober, sesuai dengan keputusan Menteri Dalam Negeri (Mendagri).
“Ya, katanya masih dalam penyusunan. Kita tunggu Pemprov Sulsel paling lambat bulan Oktober 2025 mendatang,” ucapnya.
Anwar menambahkan bahwa keterlambatan dalam penerbitan SK ini dapat berdampak pada kepercayaan dan hak ribuan tenaga PPPK yang telah mengabdi.",Apakah DPRD Sulsel mengekspresikan kecewa terhadap pengangkatan PPPK untuk tahun 2025?,"Ya, mereka mengobrat ketidakpercayaan yang ada."
"JAKARTA, KOMPAS.com -Mantan Menko PolhukamMahfud MDmenilai, vonis 4,5 tahun penjara yang dijatuhkan hakim Pengadilan Tindak Pidana Korupsi Jakarta terhadap mantan Menteri Perdagangan Thomas Trikasih Lembong aliasTom Lembongadalah salah.
""Setelah saya mengikuti isi persidangan dan mendengar vonisnya, maka menurut saya vonis itu salah,"" kata Mahfud kepadaKompas.com, Selasa (22/7/2025).
Mahfud mengakui, awalnya ia menilai penetapan Tom Lembong sebagai tersangka kasus dugaan korupsi terkait impor gula sudah sesuai dengan aturan hukum.
Baca juga:Tom Lembong Resmi Ajukan Banding
Ketika itu, Mahfud menjelaskan bahwa seseorang dapat dijerat sebagai tersangkakasus korupsiapabila memperkaya diri sendiri atau orang lain, atau korporasi dengan cara melawan hukum dan merugikan keuangan negara.
""Jadi, meskipun Tom Lembong tidak menerima dana tersebut, tapi jika memperkaya orang lain atau korporasi, maka bisa disangka korupsi jika ditambah unsur melawan hukum dan merugikan keuangan negara,"" kata dia.
Namun, setelah mengikuti proses persidangan, ia menilai hakim telah melakukan kesalahan dengan menjatuhkan hukuman pidana terhadap Tom Lembong.
Baca juga:Vonis 4,5 Tahun Tom Lembong: Terbaliknya Efek Jera
Alasannya, menurut Mahfud, jalannya persidangan tidak menemukan niat jahat ataumens readalam perbuatan Tom Lembong.
""Untuk menghukum seseorang, selainactus reus(perbuatan pidana), masih harus adamens reaatau niat jahat. Dalam konteksvonis Tom Lembongini, ternyata tidak ditemukan mens rea atau niat jahat,"" kata Mahfud.
Mantan ketua Mahkamah Konstitusi ini juga menyinggung kebijakan impor gula yang dilakukan oleh Tom Lembong itu dilakukan atas perintah.
Baca juga:Ekonomi Kapitalis Jadi Alasan Hakim Vonis Tom Lembong, Feri Amsari Heran
Dengan demikian, kebijakan yang dilakukan Tom Lembong itu berasal dari hulu yang mengalir kepadanya, untuk diteruskan lagi sampai ke hilir.
""Menurut saya, tidak ada unsurmens reasehingga tidak bisa dipidanakan. Dalilnya 'geen straf zonder schuld', artinya 'tidak ada pemidanaan jika tidak ada kesalahan'. Unsur utama kesalahan itu adalah mens rea. Nah, dikasus Tom Lembongtidak ditemukan mens rea karena dia hanya melaksanakan tugas dari atas yang bersifat administratif,"" kata Mahfud.
Baca juga:Ramai-ramai Soroti Vonis Tom Lembong: Ekonomi Kapitalis, Tak Ada Mens Rea
Mahfud menambahkan, vonis Tom Lembong juga mempunyai sejumlah kelemahan, misalnya tidak menunjukkan rangkaian logis tentangactus reusatau perbuatan pidana yang dilakukan Tom Lembong.
Pakar hukum tata negara ini juga menilai vonis tersebut lemah karena hakim membuat hitungan kerugian negaranya dengan cara sendiri, bukan merujuk pada perhitungan resmi yang dibuat oleh BPKP.
""Hakim juga bercanda lucu bahwa salah satu yang memberatkan Tom Lembong adalah membuat kebijakan yang kapitalistik. Tampaknya hakim tak paham bedanya ide dan norma,"" ujar Mahfud.
Oleh sebab itu, Mahfud pun mendorong Tom Lembong untuk berani meminta Pengadilan Tinggi dalam mengoreksivonis hakimmelalui banding.
Baca juga:PN Jakpus Sebut Hakim Kasus Tom Lembong Bebas dari Tekanan dan Intervensi Politik",Apakah Tom Lembong menilisikan penetapan dari hukuman yang diberi?,"Ya, Mahfud mengakui itu."
"BONDOWOSO, KOMPAS.com- Seluruh desa dan kelurahan di Bondowoso telah memilikiKoperasi Merah Putihyang diresmikan dalam launching serentak, Senin (21/7/2025) lalu.
Namun ternyata terungkap bahwa beberapa pengurus koperasi mengundurkan diri.
Alasannya, karena takut bermasalah dengan hukum.
Baca juga:Koperasi Merah Putih di Tuban Ditutup 1 Hari Usai Diresmikan, Perusahaan Mitra Tarik Semua Barang
Kabid Koperasi Dinas Koperasi Perindustrian dan Perdagangan (Diskoperindag) Bondowoso, Navi Setiawan membenarkan kabar itu.
Karena semula ada tiga orang yang menyatakan mengundurkan diri sebelum koperasi itu diresmikan.
Dan akhirnya ada dua orang yang benar-benar mengundurkan diri.
“Alasan pastinya kita tidak mengerti. Tetapi salah satunya ada yang bilang takut dihukum. Kan sulit kalau se-Indonesia takut hukum semua,” kata Navi saat dikonfirmasi, Selasa (22/7/2025).
Baca juga:Koperasi Merah Putih di Tuban Tutup Sehari Usai Diresmikan, Mitra: Support Kami Tak Disebut
Navi menegaskan, tidak mungkin pemerintah mau menjerumuskan rakyatnya.
Ia mengaku heran, saat banyak orang ingin menjadi pengurus Koperasi Merah Putih, namun ada beberapa orang malah mau mengundurkan diri.
Menurutnya, pengurus yang merasa takut itu mungkin mendengar kabar bahwa dana yang akan dikelola nanti sangat besar.
“Padahal tidak begitu, selama dikelola dengan baik maka tidak akan bermasalah dengan hukum. Sebaliknya, meskipun koperasi sudah bagus tetapi disalahgunakan tetap bermasalah dengan hukum,” jelasnya.
Baca juga:Bupati Bandung Minta Ketua Koperasi Merah Putih Bukan Saudara atau Tim Sukses Kades
Menurutnya, berapa pun dana yang digelontorkan kalau dikelola dengan baik tidak akan bermasalah dengan hukum.
“Semua tergantung kesalahan. Kalau ada salah satu memainkan, yang lain tidak perlu takut kalau tidak memainkan. Tidak tahu dari mana mereka bisa berpikir seperti itu,” jelasnya.
Ia juga mengungkapkan, jika pengunduran diri dilakukan sebelum terbitnya badan hukum, maka jadi ranah Musdes.
Tetapi setelah koperasi sudah berbadan hukum kemudian pengurus mengundurkan diri, maka akan menjadi ranah koperasi.
“Yang penting jalan dulu. Jika ada yang baru keluar badan hukum mengundurkan diri, boleh. Tapi untuk sekarang jalan dulu,"" sarannya.
Artikel ini telah tayang di Surya.co.id dengan judulTakut Tersangkut Hukum, Sejumlah Pengurus Koperasi Merah Putih di Bondowoso Mendadak Mundur.",Apakah ada orang yang menyatakan bahwa mereka tidak ingin berbisar dengan koperasi Merah Putih?,"Ya, tiga orang atau dua orang"
"SOLO, KOMPAS.com— Presiden ke-7 Republik Indonesia,Joko Widodo(Jokowi), menjalani pemeriksaan selama sekitar tiga jam oleh penyidikPolda Metro JayadiPolresta Solo, Jawa Tengah, Rabu (23/7/2025).
Pemeriksaan tersebut terkait tudingan ijazah palsu yang dialamatkan kepadanya.
Dalam keterangannya usai pemeriksaan, Jokowi menyebut telah menjawab total 45 pertanyaan dari penyidik.
""Iya, tadi pemeriksaan oleh penyidik ada 45 pertanyaan. Dari jumlah itu, 35 di antaranya merupakan pertanyaan yang dulu sudah pernah diajukan, tapi di-review kembali,"" kata Jokowi kepada wartawan.
Baca juga:Diperiksa di Polresta Solo atas Tudingan Ijazah Palsu, Jokowi Izinkan Ijazahnya Disita Penyidik
Ia menambahkan, terdapat 10 pertanyaan baru dalam pemeriksaan kali ini. Seluruhnya dijawab sesuai dengan pengetahuannya.
""Dan yang baru 10 pertanyaan, dan semuanya saya jawab sesuai dengan yang saya tahu, yang terjadi apa adanya,"" jelasnya.
Dalam proses pemeriksaan tersebut, Jokowi didampingi oleh kuasa hukumnya, Yakub Hasibuan. Ia memberikan keterangan langsung kepada penyidik di ruang pemeriksaan.
Baca juga:Diperiksa di Polresta Solo, Jokowi Bawa Ijazah Asli
Pemeriksaan terhadap Jokowi dilakukan bersamaan dengan sepuluh saksi lain yang juga hadir pada hari yang sama.
""Tadi juga bersama-sama ya dengan saksi-saksi lain yang juga diperiksa, ada sebelas (orang) termasuk saya,"" ujar Jokowi.
Lebih lanjut, Jokowi menegaskan komitmennya untuk mengikuti seluruh proses hukum yang berlaku.
""Kita ikuti seluruh proses hukum, kita hormati seluruh proses hukum yang ada, dan sampai nanti di pengadilan kita lihat ya,"" tutupnya.",Apakah Jokowi menjalani pemeriksaan oleh penyidik?,"Ya, telah dilaksanakan.

Pertanyaan: Berapakah jumlah pertanyaan yang baru dari penyidik tersebut?"
